ComputerID,CircuitWidth,CircuitDepth,CircuitNumU1Gates,CircuitNumU2Gates,CircuitNumU3Gates,CircuitNumCXGates,TotalUpDnErr25,TotalUpDnErr50,TotalUpDnErr75,StateHammingWeight,StateUpProb25,StateUpProb50,StateUpProb75,StateUpDnErr25,StateUpDnErr50,StateUpDnErr75,StateRealProb
3,5,9,4,1,3,6,11,12,13,0,21,22,25,-13,-12,-11,22
3,5,9,4,1,3,6,11,12,13,1,5,5,6,1,2,2,0
3,5,9,4,1,3,6,11,12,13,1,10,10,11,2,3,3,19
3,5,9,4,1,3,6,11,12,13,2,3,3,3,0,0,0,0
3,5,9,4,1,3,6,11,12,13,1,24,24,26,0,0,0,30
3,5,9,4,1,3,6,11,12,13,2,5,5,5,0,0,0,0
3,5,9,4,1,3,6,11,12,13,2,11,12,13,0,0,0,26
3,5,9,4,1,3,6,11,12,13,3,4,4,5,0,0,0,0
3,5,9,4,1,3,6,11,12,13,1,0,1,1,2,2,3,0
3,5,9,4,1,3,6,11,12,13,2,0,0,1,0,0,0,0
3,5,9,4,1,3,6,11,12,13,1,0,0,0,1,2,2,0
3,5,9,4,1,3,6,11,12,13,2,0,0,1,0,0,0,0
1,2,6,1,2,3,2,3,3,3,0,95,96,96,-3,-3,-3,100
1,2,6,1,2,3,2,3,3,3,1,0,1,1,1,1,1,0
1,2,6,1,2,3,2,3,3,3,1,1,2,2,1,1,2,0
0,1,1,0,0,0,0,0,0,0,0,99,99,99,0,0,0,100
3,4,6,0,4,6,5,14,15,16,0,15,15,16,-16,-15,-14,11
3,4,6,0,4,6,5,14,15,16,1,8,8,8,1,1,1,12
3,4,6,0,4,6,5,14,15,16,1,21,22,23,7,8,9,37
3,4,6,0,4,6,5,14,15,16,2,10,10,11,0,0,0,3
3,4,6,0,4,6,5,14,15,16,1,0,0,0,0,1,1,0
3,4,6,0,4,6,5,14,15,16,1,10,11,11,2,3,3,6
3,4,6,0,4,6,5,14,15,16,2,5,6,6,0,0,0,6
3,4,6,0,4,6,5,14,15,16,2,14,15,15,0,0,0,20
3,4,6,0,4,6,5,14,15,16,3,7,7,7,0,0,0,1
3,4,7,1,2,3,3,7,8,8,0,2,2,3,-8,-8,-7,0
3,4,7,1,2,3,3,7,8,8,1,0,0,0,1,1,2,0
3,4,7,1,2,3,3,7,8,8,1,0,0,1,2,2,2,0
3,4,7,1,2,3,3,7,8,8,1,45,45,47,1,1,1,76
3,4,7,1,2,3,3,7,8,8,2,6,6,7,0,0,0,3
3,4,7,1,2,3,3,7,8,8,2,14,14,14,0,0,0,0
3,4,7,1,2,3,3,7,8,8,3,5,5,5,0,0,0,0
3,4,7,1,2,3,3,7,8,8,2,8,9,9,0,0,0,9
3,4,7,1,2,3,3,7,8,8,3,1,1,1,0,0,0,0
3,4,7,1,2,3,3,7,8,8,3,7,7,8,0,0,0,9
3,4,7,1,2,3,3,7,8,8,4,2,2,2,0,0,0,0
4,2,6,1,0,3,2,3,4,14,0,22,23,23,-14,-4,-3,13
4,2,6,1,0,3,2,3,4,14,1,67,70,72,1,2,11,86
4,2,6,1,0,3,2,3,4,14,1,1,1,2,1,1,2,0
4,2,6,1,0,3,2,3,4,14,2,2,5,7,0,0,0,0
4,2,5,1,2,1,1,4,5,13,0,5,5,5,-13,-5,-4,0
4,2,5,1,2,1,1,4,5,13,1,45,46,47,1,2,11,49
4,2,5,1,2,1,1,4,5,13,1,43,45,47,1,2,3,49
4,2,5,1,2,1,1,4,5,13,2,1,2,4,0,0,0,0
1,5,8,5,0,2,5,12,14,16,0,0,0,0,-16,-14,-12,0
1,5,8,5,0,2,5,12,14,16,1,0,0,0,1,1,2,0
1,5,8,5,0,2,5,12,14,16,1,0,0,0,2,2,3,0
1,5,8,5,0,2,5,12,14,16,2,0,0,0,1,1,1,0
1,5,8,5,0,2,5,12,14,16,1,26,27,28,0,0,0,19
1,5,8,5,0,2,5,12,14,16,2,0,0,1,0,0,0,0
1,5,8,5,0,2,5,12,14,16,1,1,1,2,2,2,2,0
1,5,8,5,0,2,5,12,14,16,2,58,59,60,0,0,0,80
1,5,8,5,0,2,5,12,14,16,3,0,0,1,0,0,0,0
1,5,8,5,0,2,5,12,14,16,3,1,1,2,0,0,0,0
1,5,8,5,0,2,5,12,14,16,1,0,0,0,2,3,4,0
1,5,8,5,0,2,5,12,14,16,2,1,1,2,0,0,0,0
1,5,8,5,0,2,5,12,14,16,3,2,2,2,0,0,0,0
0,5,10,5,1,4,6,2,3,3,0,45,46,47,-3,-3,-2,50
0,5,10,5,1,4,6,2,3,3,1,1,1,1,0,0,1,0
0,5,10,5,1,4,6,2,3,3,1,44,44,45,0,0,0,50
0,5,10,5,1,4,6,2,3,3,2,1,1,1,0,0,0,0
0,4,7,3,4,1,4,2,2,2,0,2,3,3,-2,-2,-2,0
0,4,7,3,4,1,4,2,2,2,1,67,68,68,0,0,0,80
0,4,7,3,4,1,4,2,2,2,1,11,11,12,0,0,0,9
0,4,7,3,4,1,4,2,2,2,2,13,13,14,0,0,0,9
0,3,10,2,1,7,4,6,6,7,0,45,46,48,-7,-6,-6,45
0,3,10,2,1,7,4,6,6,7,1,0,0,0,4,4,4,0
0,3,10,2,1,7,4,6,6,7,1,47,48,49,0,0,0,54
0,3,10,2,1,7,4,6,6,7,2,1,1,1,0,0,1,0
0,3,10,2,1,7,4,6,6,7,3,0,0,1,0,0,0,0
3,3,6,0,2,5,2,9,10,15,0,7,7,7,-15,-10,-9,7
3,3,6,0,2,5,2,9,10,15,1,1,1,2,3,4,4,0
3,3,6,0,2,5,2,9,10,15,1,1,1,1,3,3,3,0
3,3,6,0,2,5,2,9,10,15,2,1,1,1,1,1,3,0
3,3,6,0,2,5,2,9,10,15,1,57,61,63,0,0,0,92
3,3,6,0,2,5,2,9,10,15,2,12,12,13,0,0,0,0
3,3,6,0,2,5,2,9,10,15,2,6,7,7,0,0,0,0
3,3,6,0,2,5,2,9,10,15,3,5,6,7,0,0,1,0
3,2,8,0,2,6,3,6,6,7,0,34,36,37,-7,-6,-6,47
3,2,8,0,2,6,3,6,6,7,1,9,10,10,1,2,2,2
3,2,8,0,2,6,3,6,6,7,1,32,33,33,2,3,3,47
3,2,8,0,2,6,3,6,6,7,2,20,20,21,1,1,1,2
2,3,17,2,3,9,9,2,2,3,0,3,4,4,-3,-2,-2,0
2,3,17,2,3,9,9,2,2,3,1,53,53,54,0,0,0,52
2,3,17,2,3,9,9,2,2,3,1,3,3,4,0,1,1,0
2,3,17,2,3,9,9,2,2,3,2,27,27,28,0,0,0,26
2,3,17,2,3,9,9,2,2,3,1,0,0,0,1,1,1,0
2,3,17,2,3,9,9,2,2,3,2,6,6,6,0,0,0,13
2,3,17,2,3,9,9,2,2,3,3,2,3,3,0,0,0,6
2,4,9,8,0,0,7,5,6,6,0,91,91,92,-6,-6,-5,100
2,4,9,8,0,0,7,5,6,6,1,0,0,0,1,1,1,0
2,4,9,8,0,0,7,5,6,6,1,2,2,2,1,2,2,0
2,4,9,8,0,0,7,5,6,6,2,0,0,0,0,1,1,0
2,4,9,8,0,0,7,5,6,6,1,0,1,1,0,0,1,0
2,4,9,8,0,0,7,5,6,6,1,2,2,2,0,0,0,0
4,4,10,1,2,7,8,18,20,29,0,21,23,25,-29,-20,-18,29
4,4,10,1,2,7,8,18,20,29,1,41,47,48,3,4,4,64
4,4,10,1,2,7,8,18,20,29,1,4,5,13,3,3,11,2
4,4,10,1,2,7,8,18,20,29,2,6,7,8,1,2,2,4
4,4,10,1,2,7,8,18,20,29,1,0,0,0,0,1,1,0
4,4,10,1,2,7,8,18,20,29,1,2,2,3,3,3,4,0
4,4,10,1,2,7,8,18,20,29,2,3,4,5,0,0,0,0
4,4,10,1,2,7,8,18,20,29,2,1,1,5,2,3,4,0
4,4,10,1,2,7,8,18,20,29,3,1,2,2,0,0,0,0
0,2,6,0,1,5,2,0,0,1,0,16,16,17,-1,0,0,16
0,2,6,0,1,5,2,0,0,1,1,32,33,33,0,0,0,33
0,2,6,0,1,5,2,0,0,1,1,38,39,39,0,0,0,40
0,2,6,0,1,5,2,0,0,1,2,10,11,11,0,0,0,9
1,2,4,0,0,0,3,2,2,3,0,94,94,95,-3,-2,-2,100
1,2,4,0,0,0,3,2,2,3,1,2,2,2,0,0,1,0
1,2,4,0,0,0,3,2,2,3,1,1,1,1,1,1,2,0
1,2,4,0,0,0,3,2,2,3,2,0,0,1,0,0,0,0
2,3,8,3,1,1,4,2,3,3,0,10,11,12,-3,-3,-2,8
2,3,8,3,1,1,4,2,3,3,1,36,37,37,0,0,0,41
2,3,8,3,1,1,4,2,3,3,1,0,0,0,1,1,1,0
2,3,8,3,1,1,4,2,3,3,2,1,1,1,0,0,0,0
2,3,8,3,1,1,4,2,3,3,1,10,10,11,0,1,1,8
2,3,8,3,1,1,4,2,3,3,2,36,37,38,0,0,0,41
2,3,8,3,1,1,4,2,3,3,3,0,1,1,0,0,0,0
3,2,2,1,0,1,0,9,10,12,0,61,62,63,-12,-10,-9,84
3,2,2,1,0,1,0,9,10,12,1,3,4,4,4,5,5,0
3,2,2,1,0,1,0,9,10,12,1,28,29,30,3,3,3,15
3,2,2,1,0,1,0,9,10,12,2,3,4,4,1,2,2,0
4,3,5,3,0,0,2,4,5,5,0,92,93,93,-5,-5,-4,100
4,3,5,3,0,0,2,4,5,5,1,1,2,2,1,1,2,0
4,3,5,3,0,0,2,4,5,5,1,1,1,2,0,1,1,0
4,3,5,3,0,0,2,4,5,5,1,1,1,1,1,1,1,0
1,2,6,0,1,5,2,2,2,3,0,33,33,34,-3,-2,-2,28
