Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
45.29,25.72,22.72,24.69,1.16,108,33,106,11,4.57,4.74,4.91,1,3.91
40.76,23.28,19.84,22.49,1.2,108,33,106,11,3.69,3.86,4.03,3,3.32
50.52,16.95,24.9,23.17,1.1,108,33,106,11,51.66,52.25,52.83,2,76.56
43.44,22.38,25.1,19.96,1.05,108,33,106,11,7.91,8.01,8.1,1,7.03
52.26,18.79,22.83,17.82,1.23,108,33,106,11,1.86,1.95,2.05,1,0.0
44.2,25.31,22.26,18.65,1.04,108,33,106,11,2.76,2.78,2.81,2,0.68
50.78,24.26,25.41,17.96,1.18,108,33,106,11,4.08,4.25,4.42,1,1.37
40.83,25.41,20.72,18.51,1.16,108,33,106,11,2.64,2.73,2.83,2,1.37
42.25,16.35,21.2,25.52,1.06,108,33,106,11,1.78,1.81,1.83,0,0.0
44.4,26.02,24.9,25.82,1.57,108,33,106,11,2.0,2.25,2.49,3,0.68
42.95,25.62,23.94,24.26,1.21,108,33,106,11,4.1,4.3,4.49,3,3.52
42.46,17.39,25.21,25.72,1.48,108,33,106,11,1.86,2.05,2.25,2,0.29
43.02,19.58,22.95,23.83,2.3,108,33,106,11,1.42,1.76,2.1,2,0.2
51.94,16.65,22.03,17.68,1.03,108,33,106,11,3.34,3.37,3.39,3,0.39
50.33,26.12,22.26,24.69,1.2,108,33,106,11,1.03,1.07,1.12,2,0.0
41.4,24.47,24.69,19.71,1.14,108,33,106,11,1.51,1.56,1.61,4,0.68
