Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
52.71,31.57,28.54,23.61,1.07,108,30,97,11,44.26,44.68,45.09,2,75.98
63.16,28.82,25.82,23.72,1.22,108,30,97,11,2.37,2.49,2.61,2,0.0
54.44,30.88,24.47,34.16,1.14,108,30,97,11,8.86,9.13,9.4,1,7.03
51.04,32.26,26.72,33.18,1.13,108,30,97,11,3.32,3.42,3.52,3,0.29
51.55,29.46,29.46,23.72,1.29,108,30,97,11,4.18,4.44,4.71,3,0.68
52.46,30.44,21.56,30.18,1.15,108,30,97,11,2.83,2.93,3.03,2,0.68
64.84,24.05,30.97,25.0,1.08,108,30,97,11,3.78,3.86,3.93,1,3.91
61.17,32.42,28.54,24.26,1.4,108,30,97,11,2.47,2.69,2.9,2,1.76
50.65,23.39,26.22,26.32,1.0,108,30,97,11,2.54,2.54,2.54,2,0.0
53.54,23.5,30.71,32.42,1.04,108,30,97,11,5.81,5.86,5.91,3,3.52
63.09,23.06,31.57,30.88,1.05,108,30,97,11,4.35,4.4,4.44,3,3.32
53.29,24.26,30.18,21.44,1.19,108,30,97,11,2.25,2.34,2.44,4,0.68
51.68,29.64,30.71,23.94,1.32,108,30,97,11,4.1,4.4,4.69,1,1.86
51.3,30.35,30.18,31.23,1.28,108,30,97,11,2.3,2.44,2.59,2,0.29
51.36,26.82,30.18,31.4,1.25,108,30,97,11,2.59,2.73,2.88,1,0.0
51.1,30.0,29.46,24.26,1.12,108,30,97,11,2.61,2.69,2.76,0,0.0
