Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
61.43,30.0,26.62,31.32,1.26,108,30,106,11,4.25,4.49,4.74,3,4.59
51.17,23.5,26.82,32.34,1.09,108,30,106,11,47.48,48.0,48.51,2,74.61
49.35,24.79,25.62,32.34,1.41,108,30,106,11,2.15,2.34,2.54,4,0.68
52.07,31.23,28.16,31.75,1.24,108,30,106,11,3.61,3.81,4.0,2,1.86
62.13,30.44,27.31,32.17,1.05,108,30,106,11,1.88,1.9,1.93,2,0.0
55.46,21.8,27.78,23.94,1.02,108,30,106,11,4.32,4.35,4.37,3,2.64
49.74,31.06,28.26,32.09,1.06,108,30,106,11,9.69,9.81,9.94,1,9.96
50.46,25.0,26.82,33.75,1.12,108,30,106,11,4.52,4.64,4.76,3,0.49
62.39,29.91,27.59,34.8,1.24,108,30,106,11,3.61,3.81,4.0,1,2.05
51.04,22.61,26.12,25.41,1.0,108,30,106,11,2.44,2.44,2.44,1,0.0
51.68,24.69,27.5,24.37,1.61,108,30,106,11,2.47,2.78,3.1,1,1.17
51.94,30.88,27.4,32.59,1.3,108,30,106,11,3.66,3.91,4.15,3,0.88
54.57,23.39,27.31,24.79,1.15,108,30,106,11,2.12,2.2,2.27,2,0.0
50.97,24.05,26.82,25.52,1.03,108,30,106,11,2.95,2.98,3.0,2,0.88
52.01,25.31,29.09,33.42,1.09,108,30,106,11,2.2,2.25,2.3,2,0.2
62.45,25.21,27.78,31.14,1.34,108,30,106,11,1.9,2.05,2.2,0,0.0
