Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
73.1,48.17,44.2,32.34,1.07,108,33,91,9,4.76,4.83,4.91,1,0.0
73.82,30.27,42.39,45.97,1.06,108,33,91,9,6.74,6.84,6.93,3,0.29
69.96,33.5,45.43,32.51,1.27,108,33,91,9,6.64,7.03,7.42,1,9.18
72.67,29.91,44.68,31.92,1.33,108,33,91,9,7.67,8.2,8.74,3,0.49
73.25,39.89,44.81,31.75,1.26,108,33,91,9,5.59,5.91,6.23,3,5.47
73.32,32.09,37.67,31.32,1.01,108,33,91,9,17.9,17.92,17.94,2,74.61
73.82,39.09,43.65,31.66,1.03,108,33,91,9,6.2,6.25,6.3,2,0.98
73.97,31.14,46.23,32.84,1.08,108,33,91,9,5.18,5.27,5.37,1,2.05
78.4,38.87,47.04,46.5,1.09,108,33,91,9,4.69,4.78,4.88,3,2.64
77.37,31.14,44.61,30.09,1.28,108,33,91,9,4.27,4.54,4.81,4,0.68
72.11,39.46,45.36,47.83,1.16,108,33,91,9,5.27,5.47,5.66,2,1.56
78.49,31.14,48.03,45.83,1.19,108,33,91,9,4.59,4.78,4.98,0,0.0
72.53,44.81,37.37,33.26,1.05,108,33,91,9,4.54,4.59,4.64,2,0.2
71.47,41.12,43.79,45.7,1.26,108,33,91,9,5.18,5.47,5.76,1,1.86
75.22,45.43,44.27,31.92,1.08,108,33,91,9,3.69,3.76,3.83,2,0.0
75.15,39.23,44.88,30.27,1.11,108,33,91,9,4.61,4.74,4.86,2,0.0
