Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
58.82,31.4,27.88,28.63,1.02,108,33,91,11,50.05,50.2,50.34,2,76.56
57.74,24.9,29.37,27.31,1.11,108,33,91,11,2.81,2.88,2.95,0,0.0
44.2,25.31,27.97,30.79,1.25,108,33,91,11,2.59,2.73,2.88,4,0.68
46.23,31.23,29.18,25.21,1.13,108,33,91,11,1.61,1.66,1.71,2,0.29
47.97,29.46,26.22,25.1,1.0,108,33,91,11,1.86,1.86,1.86,2,0.2
45.9,29.0,26.42,30.88,1.05,108,33,91,11,1.98,2.0,2.03,1,0.0
46.84,28.63,26.32,26.52,1.61,108,33,91,11,1.12,1.27,1.42,2,0.0
46.03,32.17,27.69,30.0,1.23,108,33,91,11,5.35,5.62,5.88,1,1.37
48.36,22.72,27.01,26.52,1.2,108,33,91,11,3.17,3.32,3.47,3,0.68
53.54,29.0,27.97,22.83,1.27,108,33,91,11,4.88,5.18,5.47,3,3.52
59.84,29.09,28.07,26.32,1.07,108,33,91,11,2.98,3.03,3.08,2,0.68
46.1,30.62,27.69,26.32,1.08,108,33,91,11,3.98,4.05,4.13,3,3.32
48.76,23.83,29.64,26.72,1.38,108,33,91,11,2.88,3.12,3.37,3,0.39
46.5,29.0,29.0,26.22,1.06,108,33,91,11,9.4,9.52,9.64,1,7.03
47.1,24.26,28.54,25.82,1.14,108,33,91,11,4.54,4.69,4.83,1,3.91
50.84,27.69,26.42,27.11,1.07,108,33,91,11,2.98,3.03,3.08,2,1.37
