Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
46.64,22.72,33.99,20.72,1.14,108,33,85,9,43.38,44.19,45.0,2,76.56
47.17,30.09,32.17,21.68,1.49,108,33,85,9,3.27,3.61,3.96,2,1.37
46.7,24.15,32.76,28.35,1.04,108,33,85,9,2.66,2.69,2.71,1,0.0
46.03,22.61,33.01,22.15,1.17,108,33,85,9,3.76,3.91,4.05,1,1.37
49.74,29.28,29.28,28.54,1.46,108,33,85,9,4.22,4.64,5.05,3,0.39
45.02,23.72,29.55,29.55,1.27,108,33,85,9,1.98,2.1,2.22,0,0.0
49.48,29.18,28.16,31.14,1.03,108,33,85,9,3.15,3.17,3.2,2,0.2
47.17,29.82,27.31,29.46,1.02,108,33,85,9,5.69,5.71,5.74,3,3.52
50.78,26.92,31.14,29.28,1.04,108,33,85,9,7.79,7.86,7.94,1,7.03
45.83,27.5,31.06,30.53,1.13,108,33,85,9,4.03,4.15,4.27,3,3.32
47.17,27.01,34.08,31.92,1.03,108,33,85,9,3.83,3.86,3.88,3,0.68
65.29,30.0,32.17,30.97,2.01,108,33,85,9,0.85,1.03,1.2,2,0.29
46.44,21.32,32.76,23.83,1.16,108,33,85,9,4.57,4.74,4.91,1,3.91
48.95,26.02,34.08,29.91,1.36,108,33,85,9,1.81,1.95,2.1,4,0.68
47.77,20.59,29.82,29.09,1.18,108,33,85,9,1.73,1.81,1.88,2,0.0
50.97,27.78,31.75,30.35,1.06,108,33,85,9,1.78,1.81,1.83,2,0.68
