Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
74.48,18.65,28.82,31.49,1.24,108,45,86,9,2.69,2.83,2.98,2,0.1
73.39,18.24,28.72,19.32,1.22,108,45,86,9,7.18,7.52,7.86,1,9.96
75.37,20.72,29.46,29.73,1.19,108,45,86,9,7.54,7.86,8.18,2,0.29
77.29,18.79,24.58,28.72,1.28,108,45,86,9,4.69,4.98,5.27,3,0.49
73.61,28.63,29.46,31.57,1.01,108,45,86,9,23.78,23.83,23.88,2,75.2
70.16,32.59,29.0,30.18,1.08,108,45,86,9,5.18,5.27,5.37,2,1.86
74.63,20.09,27.59,30.71,1.54,108,45,86,9,5.71,6.35,6.98,3,2.64
76.21,27.5,25.92,32.34,1.12,108,45,86,9,5.32,5.47,5.62,3,0.2
76.13,18.92,29.64,31.14,1.11,108,45,86,9,3.81,3.91,4.0,4,0.68
75.75,25.82,28.82,30.88,1.03,108,45,86,9,6.4,6.44,6.49,1,0.59
74.33,30.88,31.92,18.51,1.21,108,45,86,9,4.61,4.83,5.05,1,3.22
75.37,27.21,26.52,30.09,1.39,108,45,86,9,3.1,3.37,3.64,2,0.0
65.75,30.0,26.02,31.06,1.51,108,45,86,9,4.59,5.08,5.57,1,0.0
74.04,29.82,25.72,30.88,1.07,108,45,86,9,2.88,2.93,2.98,2,0.2
77.29,19.19,25.1,30.27,1.33,108,45,86,9,3.69,3.96,4.22,0,0.0
71.97,32.26,25.41,30.09,1.09,108,45,86,9,4.59,4.69,4.78,3,4.59
