Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
62.45,19.19,28.54,30.27,1.08,176,109,223,12,12.72,12.94,13.16,1,22.66
64.25,24.69,29.18,29.09,1.03,176,109,223,12,3.25,3.27,3.3,2,0.0
64.84,18.1,31.23,27.21,1.07,176,109,223,12,4.18,4.25,4.32,2,0.0
66.47,26.22,30.62,25.92,1.01,176,109,223,12,22.1,22.12,22.14,1,40.92
65.49,17.39,29.82,27.59,1.23,176,109,223,12,11.48,12.01,12.55,2,19.43
62.97,20.84,29.82,26.92,1.67,176,109,223,12,0.68,0.78,0.88,4,0.0
64.51,18.92,30.79,29.91,1.27,176,109,223,12,11.38,12.01,12.65,2,15.14
62.71,16.65,31.32,26.92,1.36,176,109,223,12,2.44,2.64,2.83,3,0.0
69.61,18.65,30.0,29.55,1.0,176,109,223,12,2.44,2.44,2.44,2,0.29
64.51,19.58,29.82,30.62,1.0,176,109,223,12,0.49,0.49,0.49,3,0.0
64.0,19.19,29.46,29.18,1.51,176,109,223,12,1.1,1.22,1.34,4,0.0
65.16,19.05,30.27,29.91,1.09,176,109,223,12,1.1,1.12,1.15,2,0.0
61.81,27.5,31.23,28.91,1.42,176,109,223,12,1.83,2.0,2.17,3,0.0
62.52,27.69,31.83,29.55,1.2,176,109,223,12,3.69,3.86,4.03,0,0.2
63.16,20.59,31.32,27.01,1.0,176,109,223,12,1.66,1.66,1.66,1,0.0
63.54,20.09,31.92,27.11,1.07,176,109,223,12,3.08,3.12,3.17,3,0.0
64.32,19.84,29.37,29.09,1.5,176,109,223,12,0.44,0.49,0.54,3,0.0
63.93,21.8,29.28,28.54,1.0,176,109,223,12,0.88,0.88,0.88,4,0.0
64.38,20.72,31.4,27.59,1.1,176,109,223,12,1.0,1.03,1.05,3,0.0
65.55,19.71,31.23,28.44,1.08,176,109,223,12,2.49,2.54,2.59,3,1.27
65.75,27.21,27.97,31.06,1.51,176,109,223,12,0.88,0.98,1.07,2,0.0
64.13,22.15,32.59,29.82,1.38,176,109,223,12,0.85,0.93,1.0,2,0.0
65.36,20.47,28.07,28.16,1.16,176,109,223,12,2.54,2.64,2.73,1,0.1
62.9,19.84,30.71,28.82,1.0,176,109,223,12,0.39,0.39,0.39,5,0.0
64.45,19.58,31.92,27.97,2.18,176,109,223,12,0.76,0.93,1.1,3,0.0
64.97,17.68,30.53,29.28,1.0,176,109,223,12,0.39,0.39,0.39,4,0.0
62.77,20.72,33.18,28.72,2.01,176,109,223,12,0.49,0.59,0.68,2,0.0
62.52,20.34,30.53,30.18,1.33,176,109,223,12,0.32,0.34,0.37,3,0.0
62.07,26.22,29.28,28.16,1.34,176,109,223,12,0.64,0.68,0.73,4,0.0
64.84,19.19,31.75,27.5,4.01,176,109,223,12,0.17,0.24,0.32,3,0.0
64.51,19.19,32.76,27.69,2.0,176,109,223,12,0.24,0.29,0.34,1,0.0
