Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
81.45,22.72,49.35,45.56,1.12,176,103,213,12,3.61,3.71,3.81,3,1.27
80.49,22.38,47.83,46.5,1.6,176,103,213,12,0.56,0.64,0.71,5,0.0
78.97,22.38,50.13,45.49,1.04,176,103,213,12,8.47,8.54,8.62,1,22.66
78.49,20.09,49.02,48.1,1.77,176,103,213,12,3.81,4.4,4.98,0,0.2
81.1,23.39,49.41,45.22,1.58,176,103,213,12,1.78,2.0,2.22,1,0.0
81.19,24.15,51.17,45.7,1.03,176,103,213,12,9.74,9.81,9.89,2,15.14
79.22,23.06,49.09,44.4,1.02,176,103,213,12,4.52,4.54,4.57,3,0.0
80.49,23.83,50.58,44.75,1.07,176,103,213,12,4.37,4.44,4.52,3,0.0
79.47,22.49,50.26,43.92,1.22,176,103,213,12,3.39,3.56,3.74,1,0.0
78.4,22.15,49.74,45.09,1.04,176,103,213,12,15.67,15.82,15.97,1,40.04
80.57,23.39,49.48,43.85,1.19,176,103,213,12,8.96,9.33,9.69,2,19.82
77.53,23.83,48.76,43.44,1.34,176,103,213,12,0.95,1.03,1.1,3,0.0
79.22,23.28,48.17,44.34,2.01,176,103,213,12,0.37,0.44,0.51,2,0.0
79.81,23.17,50.97,44.4,1.05,176,103,213,12,2.17,2.2,2.22,4,0.0
79.72,22.03,50.46,44.4,1.25,176,103,213,12,0.42,0.44,0.46,3,0.0
81.01,24.37,47.3,42.39,1.53,176,103,213,12,4.18,4.64,5.1,2,0.0
81.45,24.15,52.33,42.53,1.96,176,103,213,12,4.42,5.22,6.03,2,0.0
80.4,21.56,50.52,47.77,1.13,176,103,213,12,0.81,0.83,0.85,4,0.0
80.4,22.61,49.93,47.77,1.5,176,103,213,12,0.66,0.73,0.81,3,0.0
80.32,24.58,50.84,44.54,2.01,176,103,213,12,0.49,0.59,0.68,4,0.0
79.64,24.26,50.46,47.1,1.04,176,103,213,12,2.66,2.69,2.71,3,0.0
79.89,22.61,48.95,42.95,1.1,176,103,213,12,2.0,2.05,2.1,2,0.0
79.47,23.5,50.58,43.58,1.87,176,103,213,12,0.83,0.98,1.12,4,0.0
79.14,35.04,47.64,44.75,1.42,176,103,213,12,1.83,2.0,2.17,2,0.0
79.81,22.26,50.2,44.95,1.38,176,103,213,12,0.85,0.93,1.0,3,0.0
78.81,33.59,49.67,45.43,1.3,176,103,213,12,1.05,1.12,1.2,3,0.0
78.97,23.5,48.56,44.54,1.46,176,103,213,12,2.71,2.98,3.25,2,0.88
79.14,33.34,49.48,44.2,1.08,176,103,213,12,2.49,2.54,2.59,2,0.0
79.3,25.1,45.9,44.34,1.13,176,103,213,12,0.81,0.83,0.85,2,0.0
80.15,25.62,50.33,42.74,1.45,176,103,213,12,0.98,1.07,1.17,3,0.0
79.3,22.38,50.52,44.75,1.25,176,103,213,12,0.83,0.88,0.93,4,0.0
78.24,23.61,50.07,44.88,1.34,176,103,213,12,0.64,0.68,0.73,1,0.0
