Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
78.57,25.1,49.87,44.13,1.19,176,121,225,12,14.92,15.48,16.04,1,40.92
77.37,25.92,48.49,43.65,1.23,176,121,225,12,3.81,4.0,4.2,2,0.0
77.37,27.31,48.82,43.72,1.07,176,121,225,12,9.23,9.38,9.52,2,19.43
77.84,26.42,49.09,42.32,1.12,176,121,225,12,5.22,5.37,5.52,0,0.2
76.67,25.21,48.17,40.11,1.46,176,121,225,12,1.95,2.15,2.34,3,0.0
77.6,25.62,47.97,44.27,1.14,176,121,225,12,2.22,2.3,2.37,3,0.0
79.98,25.31,46.57,43.79,1.28,176,121,225,12,7.89,8.35,8.81,1,22.66
81.63,25.0,48.17,41.76,1.0,176,121,225,12,0.78,0.78,0.78,2,0.0
76.74,25.1,48.17,44.47,4.05,176,121,225,12,0.68,0.98,1.27,1,0.0
78.97,25.72,49.61,45.15,1.1,176,121,225,12,8.98,9.18,9.38,2,15.14
77.37,28.26,48.95,43.02,1.58,176,121,225,12,1.78,2.0,2.22,3,0.0
78.49,25.82,49.8,42.6,1.06,176,121,225,12,1.68,1.71,1.73,4,0.0
78.08,26.82,47.1,41.9,1.06,176,121,225,12,3.27,3.32,3.37,2,0.0
78.57,24.9,49.93,43.58,1.07,176,121,225,12,1.49,1.51,1.54,3,0.0
77.68,26.62,46.3,43.16,1.15,176,121,225,12,2.03,2.1,2.17,2,0.0
79.14,24.47,48.43,44.06,1.9,176,121,225,12,1.07,1.27,1.46,2,0.0
78.81,32.0,49.15,41.9,1.15,176,121,225,12,2.03,2.1,2.17,2,0.0
78.57,25.31,49.09,43.37,1.0,176,121,225,12,1.37,1.37,1.37,4,0.0
77.37,25.31,48.3,43.65,1.09,176,121,225,12,2.39,2.44,2.49,3,0.0
77.76,25.62,49.35,42.81,1.2,176,121,225,12,1.03,1.07,1.12,5,0.0
77.6,27.01,47.37,42.32,1.33,176,121,225,12,2.64,2.83,3.03,3,1.27
81.54,24.79,50.65,43.72,1.17,176,121,225,12,3.05,3.17,3.3,3,0.0
79.39,27.01,48.03,43.51,1.1,176,121,225,12,1.0,1.03,1.05,3,0.0
79.3,25.0,47.5,43.23,1.31,176,121,225,12,1.37,1.46,1.56,2,0.0
80.32,23.61,48.3,45.22,1.09,176,121,225,12,2.2,2.25,2.3,1,0.1
77.92,25.21,48.1,45.83,2.77,176,121,225,12,0.56,0.73,0.9,3,0.0
78.81,32.59,48.49,44.06,1.87,176,121,225,12,2.25,2.64,3.03,2,0.29
79.14,25.0,50.78,43.65,1.28,176,121,225,12,1.15,1.22,1.29,4,0.0
76.9,25.92,46.84,42.95,1.19,176,121,225,12,1.64,1.71,1.78,4,0.0
78.97,27.21,49.22,43.23,1.38,176,121,225,12,2.03,2.2,2.37,1,0.0
77.6,25.31,48.76,42.46,1.08,176,121,225,12,1.29,1.32,1.34,3,0.0
78.0,25.52,49.54,43.72,2.26,176,121,225,12,0.51,0.64,0.76,4,0.0
