Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
86.38,32.84,66.8,63.09,1.06,176,103,209,10,1.78,1.81,1.83,4,0.0
89.3,33.91,67.86,63.67,1.31,176,103,209,10,2.42,2.59,2.76,2,0.0
87.29,31.23,66.34,66.74,1.05,176,103,209,10,2.08,2.1,2.12,4,0.0
88.9,32.34,69.07,62.45,1.11,176,103,209,10,4.61,4.74,4.86,1,0.0
88.39,33.91,68.2,63.22,1.32,176,103,209,10,3.05,3.27,3.49,3,0.0
87.41,32.17,67.13,63.22,1.36,176,103,209,10,4.35,4.69,5.03,2,18.65
89.44,33.34,68.53,66.54,1.36,176,103,209,10,2.76,2.98,3.2,3,0.0
89.3,32.68,65.82,64.19,1.68,176,103,209,10,1.71,1.95,2.2,4,0.0
89.3,31.66,66.34,63.48,1.23,176,103,209,10,3.2,3.37,3.54,2,0.0
88.14,33.83,70.71,63.42,1.26,176,103,209,10,2.08,2.2,2.32,4,0.0
85.94,31.49,66.93,64.64,1.34,176,103,209,10,2.54,2.73,2.93,1,0.0
88.39,31.49,67.73,64.58,1.07,176,103,209,10,5.66,5.76,5.86,0,0.2
90.43,32.93,67.66,62.2,1.06,176,103,209,10,3.17,3.22,3.27,3,0.0
87.53,34.4,66.34,66.01,1.11,176,103,209,10,1.9,1.95,2.0,3,0.0
88.77,32.0,67.2,62.52,1.39,176,103,209,10,1.39,1.51,1.64,5,0.0
89.17,32.0,68.4,65.42,1.03,176,103,209,10,3.83,3.86,3.88,2,0.29
87.89,34.24,67.33,64.71,1.51,176,103,209,10,1.76,1.95,2.15,3,0.0
86.94,33.34,67.8,62.77,1.33,176,103,209,10,6.2,6.64,7.08,1,37.3
87.18,35.43,67.4,62.77,1.2,176,103,209,10,5.42,5.66,5.91,2,19.63
88.64,44.54,69.41,65.16,1.0,176,103,209,10,2.44,2.44,2.44,3,0.0
88.14,33.09,67.53,64.9,1.24,176,103,209,10,2.69,2.83,2.98,1,0.0
87.06,45.15,67.13,67.0,1.68,176,103,209,10,2.61,2.98,3.34,2,0.0
87.77,32.42,68.67,65.42,2.05,176,103,209,10,3.05,3.66,4.27,3,1.27
87.89,33.5,67.6,63.22,1.56,176,103,209,10,2.44,2.73,3.03,3,0.0
88.26,33.26,65.69,65.95,1.2,176,103,209,10,2.66,2.78,2.9,2,0.0
87.53,30.62,69.61,63.35,1.15,176,103,209,10,2.12,2.2,2.27,3,0.0
88.39,43.92,66.41,64.64,1.34,176,103,209,10,2.54,2.73,2.93,4,0.0
90.0,33.59,67.8,63.67,1.09,176,103,209,10,4.49,4.59,4.69,1,22.66
88.26,30.27,69.27,63.42,1.61,176,103,209,10,2.47,2.78,3.1,2,0.0
87.89,30.71,68.73,62.97,1.26,176,103,209,10,2.08,2.2,2.32,2,0.0
89.3,32.42,66.8,63.22,1.0,176,103,209,10,1.76,1.76,1.76,3,0.0
86.49,33.75,67.46,62.84,1.36,176,103,209,10,1.49,1.61,1.73,2,0.0
