Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
70.92,22.26,35.83,34.64,1.08,176,112,222,12,3.69,3.76,3.83,2,0.0
69.75,26.42,35.28,33.91,1.13,176,112,222,12,2.32,2.39,2.47,2,0.0
70.85,31.92,34.32,32.59,1.05,176,112,222,12,21.61,21.83,22.05,1,37.21
70.78,26.32,37.82,33.09,1.26,176,112,222,12,4.15,4.4,4.64,0,0.2
70.99,31.83,35.43,32.09,1.14,176,112,222,12,10.86,11.18,11.5,1,22.66
69.82,24.69,34.16,32.0,1.06,176,112,222,12,12.87,13.04,13.21,2,19.63
71.13,25.31,34.64,34.56,1.04,176,112,222,12,11.91,12.01,12.11,2,18.36
70.92,25.52,34.96,32.84,1.0,176,112,222,12,1.76,1.76,1.76,3,0.0
70.64,23.83,37.14,32.26,1.25,176,112,222,12,1.24,1.32,1.39,4,0.0
70.23,26.02,36.29,34.8,1.21,176,112,222,12,2.56,2.69,2.81,3,1.27
72.04,25.52,35.36,33.26,1.31,176,112,222,12,3.15,3.37,3.59,1,0.1
69.34,31.06,36.14,32.34,1.15,176,112,222,12,2.12,2.2,2.27,2,0.0
70.02,24.47,33.5,31.49,1.24,176,112,222,12,3.1,3.27,3.44,3,0.0
69.82,26.42,33.5,33.09,1.5,176,112,222,12,0.22,0.24,0.27,5,0.0
70.43,25.41,34.48,31.75,1.25,176,112,222,12,0.42,0.44,0.46,4,0.0
72.82,25.41,36.45,30.35,1.42,176,112,222,12,1.29,1.42,1.54,3,0.0
69.68,30.79,35.51,32.93,1.0,176,112,222,12,0.49,0.49,0.49,3,0.0
68.47,27.4,38.05,31.57,1.34,176,112,222,12,1.59,1.71,1.83,2,0.0
70.37,26.32,36.76,33.09,1.45,176,112,222,12,0.98,1.07,1.17,3,0.0
71.82,24.79,35.9,32.51,2.0,176,112,222,12,0.12,0.15,0.17,2,0.0
69.89,27.5,36.99,31.57,1.04,176,112,222,12,2.47,2.49,2.51,2,0.59
68.87,24.9,38.79,31.23,1.0,176,112,222,12,1.17,1.17,1.17,3,0.0
71.68,33.01,35.12,31.83,1.0,176,112,222,12,0.49,0.49,0.49,1,0.0
69.61,26.52,36.53,32.68,4.53,176,112,222,12,0.37,0.54,0.71,4,0.0
70.92,23.72,34.96,32.26,1.28,176,112,222,12,1.15,1.22,1.29,3,0.0
69.89,27.31,34.32,31.66,1.0,176,112,222,12,0.29,0.29,0.29,3,0.0
70.78,26.22,34.64,32.59,2.26,176,112,222,12,0.51,0.64,0.76,2,0.0
70.23,25.62,34.72,33.75,2.14,176,112,222,12,1.0,1.22,1.44,1,0.0
70.23,26.32,35.9,33.09,1.4,176,112,222,12,0.54,0.59,0.64,4,0.0
70.57,24.05,37.59,33.5,2.0,176,112,222,12,0.12,0.15,0.17,2,0.0
