Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
81.63,33.91,44.54,42.6,1.27,176,109,222,10,6.23,6.59,6.96,1,22.66
78.97,27.01,46.23,44.88,1.51,176,109,222,10,3.61,4.0,4.4,3,0.0
80.92,26.42,44.61,42.32,1.04,176,109,222,10,2.37,2.39,2.42,4,0.0
80.23,27.59,45.83,43.65,1.21,176,109,222,10,6.25,6.54,6.84,2,0.0
79.06,27.21,44.4,44.2,1.16,176,109,222,10,16.65,17.19,17.72,1,37.3
78.81,27.4,44.95,43.85,1.23,176,109,222,10,2.27,2.39,2.51,1,0.0
80.23,24.58,44.27,42.25,1.16,176,109,222,10,4.57,4.74,4.91,3,0.0
81.27,28.63,43.85,43.44,1.19,176,109,222,10,1.64,1.71,1.78,3,1.27
78.73,26.52,43.44,44.27,1.81,176,109,222,10,0.59,0.68,0.78,3,0.0
81.1,27.31,44.54,44.75,1.25,176,109,222,10,0.83,0.88,0.93,4,0.0
80.23,31.75,45.76,41.9,1.07,176,109,222,10,3.08,3.12,3.17,2,0.29
80.57,25.92,45.43,42.6,1.12,176,109,222,10,3.61,3.71,3.81,2,0.0
80.57,34.64,43.44,44.54,6.06,176,109,222,10,0.44,0.68,0.93,2,0.0
77.76,34.72,44.61,45.29,1.29,176,109,222,10,0.73,0.78,0.83,3,0.0
77.84,28.63,44.61,41.62,1.01,176,109,222,10,9.4,9.42,9.45,2,19.63
81.27,27.4,44.81,43.65,1.32,176,109,222,10,4.83,5.18,5.52,0,0.2
80.49,27.21,44.4,43.3,1.27,176,109,222,10,5.3,5.62,5.93,2,18.65
78.97,28.72,44.61,42.18,1.2,176,109,222,10,1.54,1.61,1.68,2,0.0
79.72,25.82,46.9,42.32,1.04,176,109,222,10,2.86,2.88,2.9,1,0.0
78.81,28.16,45.63,43.16,1.41,176,109,222,10,1.07,1.17,1.27,1,0.0
79.98,31.92,43.37,42.32,1.05,176,109,222,10,2.17,2.2,2.22,3,0.0
79.06,28.07,45.09,43.99,1.05,176,109,222,10,1.98,2.0,2.03,3,0.0
77.92,33.18,44.88,44.54,1.0,176,109,222,10,0.98,0.98,0.98,3,0.0
79.98,27.31,44.27,44.34,1.11,176,109,222,10,0.9,0.93,0.95,3,0.0
80.15,26.02,43.58,43.65,1.0,176,109,222,10,1.46,1.46,1.46,2,0.0
81.01,32.42,44.27,43.65,2.13,176,109,222,10,1.12,1.37,1.61,2,0.0
81.01,26.22,47.1,44.95,1.1,176,109,222,10,2.1,2.15,2.2,3,0.0
80.49,27.01,46.84,42.11,1.05,176,109,222,10,1.98,2.0,2.03,4,0.0
80.57,26.82,44.61,43.72,1.07,176,109,222,10,1.39,1.42,1.44,2,0.0
79.55,27.01,46.84,43.51,1.25,176,109,222,10,1.24,1.32,1.39,4,0.0
80.92,27.5,45.29,45.36,1.84,176,109,222,10,0.71,0.83,0.95,4,0.0
80.23,31.92,44.54,44.75,1.0,176,109,222,10,1.46,1.46,1.46,5,0.0
