Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
76.13,25.82,48.1,44.81,1.1,176,130,224,10,11.57,11.82,12.06,2,16.6
76.21,26.02,47.17,43.02,1.08,176,130,224,10,3.98,4.05,4.13,3,0.0
76.9,24.26,37.22,44.81,1.74,176,130,224,10,1.27,1.46,1.66,4,0.0
76.13,24.37,39.97,44.75,1.06,176,130,224,10,9.79,9.91,10.03,2,18.36
77.21,26.62,41.48,43.23,1.23,176,130,224,10,1.34,1.42,1.49,3,0.0
76.59,38.72,36.45,43.3,1.16,176,130,224,10,1.93,2.0,2.08,1,0.0
77.06,26.32,38.87,45.09,1.2,176,130,224,10,2.15,2.25,2.34,1,0.0
79.55,27.4,38.12,43.23,1.13,176,130,224,10,7.74,7.96,8.18,2,0.0
77.21,25.72,37.22,45.15,1.0,176,130,224,10,0.68,0.68,0.68,4,0.0
76.59,26.22,45.29,43.16,1.03,176,130,224,10,6.3,6.35,6.4,2,0.0
75.83,25.1,46.37,43.72,1.21,176,130,224,10,15.89,16.55,17.21,1,37.21
75.52,24.58,39.6,41.76,1.38,176,130,224,10,3.2,3.47,3.74,0,0.2
75.75,25.72,42.74,42.67,1.41,176,130,224,10,10.11,10.94,11.77,1,25.49
78.16,25.72,37.22,44.4,1.29,176,130,224,10,4.49,4.78,5.08,3,0.0
77.37,25.52,42.67,43.79,2.01,176,130,224,10,0.37,0.44,0.51,2,0.0
76.9,38.35,45.09,43.09,1.0,176,130,224,10,1.66,1.66,1.66,2,0.0
77.53,25.31,38.94,44.68,1.42,176,130,224,10,2.37,2.59,2.81,3,1.27
76.21,24.05,42.18,43.58,1.29,176,130,224,10,0.73,0.78,0.83,2,0.0
76.82,37.29,37.67,43.16,1.24,176,130,224,10,1.76,1.86,1.95,3,0.0
76.82,25.0,46.64,43.37,1.0,176,130,224,10,0.49,0.49,0.49,3,0.0
76.59,25.62,45.43,45.36,1.13,176,130,224,10,0.81,0.83,0.85,3,0.0
75.98,24.9,39.97,42.81,1.1,176,130,224,10,1.0,1.03,1.05,3,0.0
76.9,25.1,41.83,42.67,1.2,176,130,224,10,0.51,0.54,0.56,4,0.0
76.9,25.21,46.84,34.48,2.01,176,130,224,10,0.49,0.59,0.68,3,0.0
76.28,26.12,41.83,44.06,1.87,176,130,224,10,2.25,2.64,3.03,2,0.88
75.52,27.01,41.69,43.16,1.34,176,130,224,10,1.27,1.37,1.46,2,0.0
76.67,24.05,40.33,42.25,1.6,176,130,224,10,0.56,0.64,0.71,2,0.0
75.98,26.32,41.48,43.85,9.07,176,130,224,10,0.29,0.49,0.68,4,0.0
75.83,26.82,46.44,44.2,1.6,176,130,224,10,0.56,0.64,0.71,3,0.0
76.51,24.79,46.3,42.81,6.03,176,130,224,10,0.22,0.34,0.46,5,0.0
76.21,26.42,36.29,43.16,2.0,176,130,224,10,0.24,0.29,0.34,4,0.0
74.85,26.32,44.75,47.37,1.67,176,130,224,10,0.34,0.39,0.44,1,0.0
