Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
75.15,35.9,48.95,42.74,1.02,176,112,222,10,4.32,4.35,4.37,2,0.0
74.12,35.04,45.56,41.4,1.03,176,112,222,10,17.21,17.33,17.46,1,40.92
74.85,31.32,44.54,42.67,1.42,176,112,222,10,3.76,4.1,4.44,2,0.0
76.21,34.24,46.17,45.22,1.52,176,112,222,10,2.42,2.69,2.95,2,0.29
74.19,30.97,44.75,41.9,1.0,176,112,222,10,0.98,0.98,0.98,4,0.0
75.52,33.75,45.97,43.92,1.46,176,112,222,10,2.93,3.22,3.52,1,0.1
74.93,33.75,43.85,42.46,1.2,176,112,222,10,2.15,2.25,2.34,3,1.27
74.26,37.37,44.81,42.53,1.03,176,112,222,10,10.23,10.3,10.38,2,19.43
74.7,33.91,43.02,41.83,1.5,176,112,222,10,0.66,0.73,0.81,4,0.0
74.85,32.84,43.92,39.89,1.18,176,112,222,10,11.48,11.91,12.35,2,15.14
74.63,34.48,44.88,42.18,1.67,176,112,222,10,0.68,0.78,0.88,4,0.0
73.1,33.59,43.09,43.23,1.23,176,112,222,10,1.34,1.42,1.49,3,0.0
75.37,38.12,43.79,41.76,1.25,176,112,222,10,9.69,10.2,10.72,1,22.66
73.82,36.29,44.75,42.18,1.51,176,112,222,10,0.88,0.98,1.07,3,0.0
75.45,33.34,45.09,44.34,1.08,176,112,222,10,3.88,3.96,4.03,0,0.2
74.19,31.49,44.81,44.4,1.29,176,112,222,10,0.73,0.78,0.83,5,0.0
74.33,33.83,43.23,42.39,1.05,176,112,222,10,1.88,1.9,1.93,2,0.0
73.32,32.68,44.34,43.99,1.79,176,112,222,10,1.05,1.22,1.39,3,0.0
72.82,37.67,45.36,42.95,1.05,176,112,222,10,1.88,1.9,1.93,3,0.0
75.52,33.83,42.95,43.44,1.36,176,112,222,10,3.08,3.32,3.56,3,0.0
77.45,32.17,43.3,43.02,1.07,176,112,222,10,4.37,4.44,4.52,3,0.0
74.63,35.12,44.95,42.46,1.0,176,112,222,10,2.15,2.15,2.15,1,0.0
74.19,34.4,46.17,43.02,1.31,176,112,222,10,1.37,1.46,1.56,4,0.0
75.9,34.96,42.32,42.25,1.44,176,112,222,10,1.51,1.66,1.81,2,0.0
74.41,36.76,45.83,42.32,1.61,176,112,222,10,1.12,1.27,1.42,2,0.0
73.61,32.0,44.61,42.67,1.5,176,112,222,10,0.66,0.73,0.81,2,0.0
73.17,32.76,45.97,40.04,1.07,176,112,222,10,1.49,1.51,1.54,4,0.0
75.83,38.64,43.72,43.79,1.0,176,112,222,10,0.78,0.78,0.78,3,0.0
75.9,35.67,43.02,45.7,1.29,176,112,222,10,1.46,1.56,1.66,3,0.0
74.48,34.96,45.43,42.53,1.81,176,112,222,10,0.59,0.68,0.78,3,0.0
72.74,33.59,44.95,43.09,3.01,176,112,222,10,0.29,0.39,0.49,1,0.0
74.41,32.76,44.61,43.3,1.72,176,112,222,10,0.81,0.93,1.05,2,0.0
