Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
64.9,32.34,28.35,28.54,1.06,176,115,221,12,15.23,15.43,15.62,1,30.08
66.28,32.26,28.72,26.52,1.12,176,115,221,12,5.22,5.37,5.52,2,0.0
65.62,32.42,30.53,30.09,1.09,176,115,221,12,3.49,3.56,3.64,2,0.0
66.08,32.51,30.44,26.02,1.03,176,115,221,12,2.95,2.98,3.0,3,0.0
65.16,31.23,33.91,29.0,1.05,176,115,221,12,15.28,15.43,15.58,2,28.52
70.71,31.83,29.55,28.82,1.16,176,115,221,12,1.32,1.37,1.42,1,0.0
65.36,32.84,30.35,27.01,1.21,176,115,221,12,3.08,3.22,3.37,3,0.0
67.46,31.75,30.09,27.59,1.0,176,115,221,12,1.86,1.86,1.86,3,0.59
67.4,31.49,32.34,29.09,1.0,176,115,221,12,4.1,4.1,4.1,0,0.0
64.64,33.01,29.64,28.91,1.18,176,115,221,12,8.03,8.35,8.67,2,10.94
65.75,32.0,29.46,30.18,1.21,176,115,221,12,2.47,2.59,2.71,2,1.27
65.82,33.09,28.82,30.27,2.01,176,115,221,12,0.37,0.44,0.51,4,0.0
66.87,33.01,30.35,28.63,1.05,176,115,221,12,17.68,17.87,18.07,1,28.61
65.82,32.51,29.82,28.44,1.39,176,115,221,12,2.56,2.78,3.0,1,0.0
65.88,32.0,30.27,27.88,1.07,176,115,221,12,1.39,1.42,1.44,3,0.0
67.4,32.26,30.0,27.4,1.11,176,115,221,12,0.9,0.93,0.95,4,0.0
66.21,31.14,28.44,28.44,5.02,176,115,221,12,0.19,0.29,0.39,5,0.0
63.29,34.16,29.18,29.73,1.76,176,115,221,12,0.46,0.54,0.61,3,0.0
67.53,32.76,30.53,29.18,1.0,176,115,221,12,0.39,0.39,0.39,1,0.0
67.0,32.51,30.79,26.92,1.29,176,115,221,12,0.73,0.78,0.83,2,0.0
72.11,33.5,33.83,28.07,2.0,176,115,221,12,0.12,0.15,0.17,4,0.0
66.47,32.26,30.53,29.73,1.25,176,115,221,12,0.42,0.44,0.46,4,0.0
67.33,30.88,29.09,28.16,1.08,176,115,221,12,1.29,1.32,1.34,2,0.0
66.54,32.34,32.68,28.72,1.81,176,115,221,12,0.59,0.68,0.78,3,0.0
64.84,29.91,29.18,28.44,1.14,176,115,221,12,0.71,0.73,0.76,3,0.0
66.34,30.0,29.46,30.27,1.63,176,115,221,12,0.9,1.03,1.15,4,0.0
63.61,30.97,29.28,29.55,2.0,176,115,221,12,0.12,0.15,0.17,3,0.0
65.69,31.75,32.26,28.07,2.0,176,115,221,12,0.24,0.29,0.34,3,0.0
66.08,33.34,30.18,27.11,1.45,176,115,221,12,0.98,1.07,1.17,2,0.0
66.6,33.09,30.44,27.69,1.67,176,115,221,12,0.68,0.78,0.88,3,0.0
65.49,32.26,29.09,28.91,1.5,176,115,221,12,0.44,0.49,0.54,2,0.0
