Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
80.23,38.94,47.17,45.63,1.13,176,121,225,12,11.16,11.48,11.79,1,31.84
81.54,36.99,50.13,45.09,1.12,176,121,225,12,5.32,5.47,5.62,2,0.0
81.01,38.72,48.69,45.29,7.04,176,121,225,12,0.24,0.39,0.54,4,0.0
81.27,38.57,50.97,44.13,1.56,176,121,225,12,1.0,1.12,1.24,2,0.0
79.81,37.67,49.28,44.2,1.18,176,121,225,12,2.95,3.08,3.2,2,0.98
79.89,38.12,51.88,42.95,1.05,176,121,225,12,4.05,4.1,4.15,3,0.0
79.64,38.64,49.8,42.88,1.24,176,121,225,12,9.47,9.96,10.45,1,28.42
78.81,40.26,50.39,44.68,1.81,176,121,225,12,0.59,0.68,0.78,4,0.0
80.32,38.64,49.48,45.56,1.1,176,121,225,12,7.79,7.96,8.13,2,13.77
81.19,40.33,47.3,44.34,1.23,176,121,225,12,4.74,4.98,5.22,0,0.0
80.75,39.6,48.89,46.03,1.25,176,121,225,12,0.42,0.44,0.46,3,0.0
79.98,40.55,48.95,44.34,2.34,176,121,225,12,0.39,0.49,0.59,1,0.0
80.92,39.16,49.67,44.34,1.26,176,121,225,12,5.49,5.81,6.13,2,0.0
79.89,37.97,49.28,44.61,1.27,176,121,225,12,4.47,4.74,5.0,1,0.0
79.14,38.27,50.26,45.09,2.14,176,121,225,12,1.0,1.22,1.44,3,0.0
80.57,37.06,49.8,44.54,1.25,176,121,225,12,9.69,10.2,10.72,2,24.22
81.19,38.12,50.46,43.37,1.14,176,121,225,12,3.83,3.96,4.08,1,0.2
78.97,41.05,48.56,41.76,1.05,176,121,225,12,3.96,4.0,4.05,3,0.59
80.57,38.5,50.78,45.36,1.08,176,121,225,12,4.98,5.08,5.18,3,0.0
79.39,37.67,49.54,43.58,1.57,176,121,225,12,3.88,4.35,4.81,3,0.0
80.32,40.33,49.48,46.44,1.26,176,121,225,12,2.49,2.64,2.78,4,0.0
79.55,41.33,50.39,43.65,1.56,176,121,225,12,1.0,1.12,1.24,3,0.0
80.32,38.87,49.54,44.47,1.36,176,121,225,12,2.12,2.3,2.47,2,0.0
80.23,40.4,50.71,43.44,1.3,176,121,225,12,1.05,1.12,1.2,2,0.0
81.01,40.11,50.46,44.13,1.5,176,121,225,12,0.44,0.49,0.54,5,0.0
80.32,39.75,48.1,46.3,1.5,176,121,225,12,0.66,0.73,0.81,3,0.0
80.66,37.97,48.95,42.39,1.6,176,121,225,12,0.56,0.64,0.71,3,0.0
81.9,38.57,51.04,44.06,1.13,176,121,225,12,0.81,0.83,0.85,3,0.0
81.01,41.76,50.2,45.09,1.67,176,121,225,12,0.68,0.78,0.88,4,0.0
81.19,38.57,50.52,44.34,6.57,176,121,225,12,0.46,0.73,1.0,4,0.0
80.49,39.53,49.67,44.68,1.25,176,121,225,12,0.42,0.44,0.46,2,0.0
80.49,36.37,50.91,44.27,1.0,176,121,225,12,0.39,0.39,0.39,2,0.0
