Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
78.97,35.51,50.52,43.23,1.25,176,118,218,12,11.43,12.01,12.6,1,30.08
78.16,33.75,49.09,41.9,1.45,176,118,218,12,1.73,1.9,2.08,2,0.0
81.9,37.52,48.1,42.74,1.18,176,118,218,12,2.34,2.44,2.54,1,0.0
77.84,36.6,46.64,43.16,1.05,176,118,218,12,1.88,1.9,1.93,2,0.0
79.14,35.59,46.44,45.29,1.16,176,118,218,12,11.52,11.91,12.31,2,28.52
81.01,34.96,49.61,41.69,1.84,176,118,218,12,2.47,2.88,3.3,3,0.59
79.47,36.76,48.76,43.51,1.31,176,118,218,12,6.69,7.13,7.57,2,10.94
79.39,36.53,46.1,44.27,1.27,176,118,218,12,2.81,2.98,3.15,3,0.0
81.27,34.16,48.89,42.25,1.21,176,118,218,12,2.98,3.12,3.27,3,0.0
79.64,39.16,46.44,42.32,1.41,176,118,218,12,3.54,3.86,4.18,2,1.27
79.98,34.8,46.84,43.37,1.0,176,118,218,12,14.65,14.65,14.65,1,28.61
78.97,35.83,47.1,43.16,1.0,176,118,218,12,0.68,0.68,0.68,4,0.0
77.68,33.91,49.67,45.09,1.21,176,118,218,12,5.22,5.47,5.71,0,0.0
79.98,35.51,50.97,43.51,1.43,176,118,218,12,4.83,5.27,5.71,2,0.0
79.3,34.16,49.09,42.81,1.05,176,118,218,12,4.44,4.49,4.54,3,0.0
77.92,36.53,46.9,42.25,1.2,176,118,218,12,0.51,0.54,0.56,3,0.0
78.0,34.88,47.97,44.27,1.26,176,118,218,12,2.08,2.2,2.32,2,0.0
77.68,35.36,47.57,44.34,2.34,176,118,218,12,0.39,0.49,0.59,4,0.0
79.98,34.4,48.3,43.3,1.07,176,118,218,12,4.37,4.44,4.52,1,0.0
77.53,35.04,49.8,41.9,1.22,176,118,218,12,0.93,0.98,1.03,3,0.0
78.89,34.64,43.92,42.53,1.0,176,118,218,12,3.03,3.03,3.03,4,0.0
78.32,34.32,46.77,43.99,1.34,176,118,218,12,0.95,1.03,1.1,3,0.0
82.45,35.43,48.23,42.6,1.1,176,118,218,12,3.1,3.17,3.25,2,0.0
78.32,38.42,47.37,42.53,1.58,176,118,218,12,0.78,0.88,0.98,3,0.0
81.19,34.8,47.24,44.06,1.25,176,118,218,12,0.42,0.44,0.46,5,0.0
80.4,35.28,48.17,43.02,1.29,176,118,218,12,0.73,0.78,0.83,1,0.0
78.65,34.32,48.82,44.4,1.76,176,118,218,12,0.46,0.54,0.61,4,0.0
83.1,38.42,48.36,39.46,3.02,176,118,218,12,0.44,0.59,0.73,3,0.0
77.68,35.9,47.3,43.23,1.25,176,118,218,12,0.42,0.44,0.46,2,0.0
79.22,37.37,48.43,43.16,1.17,176,118,218,12,0.61,0.64,0.66,2,0.0
76.67,36.22,47.37,43.3,1.25,176,118,218,12,0.42,0.44,0.46,3,0.0
78.49,37.29,48.1,43.51,3.52,176,118,218,12,0.32,0.44,0.56,4,0.0
