Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
87.77,51.75,67.73,63.87,1.48,176,112,220,10,1.64,1.81,1.98,3,0.0
90.28,53.03,67.73,62.26,1.08,176,112,220,10,2.59,2.64,2.69,3,0.0
89.3,56.47,66.14,64.58,1.0,176,112,220,10,4.1,4.1,4.1,1,0.0
89.44,51.81,67.07,64.13,1.04,176,112,220,10,2.86,2.88,2.9,2,0.0
89.17,53.99,67.73,64.25,1.19,176,112,220,10,4.49,4.69,4.88,1,30.08
87.77,54.25,66.41,64.06,1.28,176,112,220,10,2.3,2.44,2.59,3,0.0
87.53,55.27,67.46,63.61,1.05,176,112,220,10,2.17,2.2,2.22,4,0.0
88.39,54.57,68.33,68.06,1.25,176,112,220,10,3.42,3.61,3.81,2,0.0
87.65,53.42,67.86,62.2,1.32,176,112,220,10,2.73,2.93,3.12,4,0.0
88.01,54.37,68.73,63.29,1.64,176,112,220,10,1.81,2.05,2.3,2,0.0
88.39,53.86,67.6,66.14,1.33,176,112,220,10,5.15,5.52,5.88,2,28.52
89.3,54.25,68.06,64.13,1.15,176,112,220,10,4.25,4.4,4.54,2,10.94
87.89,53.23,66.01,62.32,1.05,176,112,220,10,4.15,4.2,4.25,3,0.0
86.94,53.1,65.95,64.19,1.05,176,112,220,10,1.98,2.0,2.03,4,0.0
88.01,53.93,69.41,63.48,1.0,176,112,220,10,2.44,2.44,2.44,3,0.0
89.03,54.37,67.46,65.03,1.56,176,112,220,10,2.66,2.98,3.3,1,0.0
88.14,54.18,67.0,63.48,1.12,176,112,220,10,3.61,3.71,3.81,2,1.27
88.39,53.99,65.69,62.64,1.29,176,112,220,10,2.2,2.34,2.49,2,0.0
88.64,54.06,68.33,62.32,1.1,176,112,220,10,2.0,2.05,2.1,3,0.0
87.41,53.35,65.88,65.23,1.24,176,112,220,10,5.05,5.32,5.59,0,0.0
89.3,54.44,70.02,63.87,1.2,176,112,220,10,3.17,3.32,3.47,3,0.59
90.0,53.48,67.46,65.03,1.42,176,112,220,10,1.83,2.0,2.17,4,0.0
88.26,53.54,66.08,62.97,1.06,176,112,220,10,3.37,3.42,3.47,3,0.0
87.65,53.93,67.2,62.13,1.11,176,112,220,10,1.81,1.86,1.9,3,0.0
89.3,55.65,67.0,62.39,1.27,176,112,220,10,1.56,1.66,1.76,2,0.0
88.77,51.75,67.13,65.62,2.4,176,112,220,10,1.83,2.3,2.76,1,0.0
88.26,54.12,67.66,64.38,1.33,176,112,220,10,5.05,5.42,5.79,1,28.61
87.89,52.52,66.01,64.9,1.0,176,112,220,10,3.03,3.03,3.03,2,0.0
87.77,54.25,67.53,61.17,1.46,176,112,220,10,2.17,2.39,2.61,4,0.0
87.65,53.99,66.74,64.77,1.33,176,112,220,10,2.95,3.17,3.39,3,0.0
88.39,54.06,66.34,62.71,2.17,176,112,220,10,1.88,2.3,2.71,5,0.0
89.3,52.52,67.73,63.16,1.04,176,112,220,10,2.56,2.59,2.61,2,0.0
