Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
71.89,38.57,37.22,33.99,1.09,176,109,218,12,3.39,3.47,3.54,3,0.0
72.53,38.57,37.82,31.49,1.0,176,109,218,12,0.29,0.29,0.29,4,0.0
70.16,37.37,36.68,31.32,1.14,176,109,218,12,19.48,20.02,20.56,2,24.02
72.82,38.57,34.72,33.09,1.51,176,109,218,12,1.98,2.2,2.42,3,0.0
71.54,38.05,35.04,32.0,1.07,176,109,218,12,23.27,23.58,23.9,1,32.23
70.57,38.42,34.88,31.32,1.34,176,109,218,12,1.59,1.71,1.83,3,0.59
71.61,37.06,36.53,33.99,1.0,176,109,218,12,0.1,0.1,0.1,4,0.0
71.47,34.24,35.98,32.34,1.01,176,109,218,12,9.59,9.62,9.64,2,13.48
72.74,37.67,35.59,32.0,1.51,176,109,218,12,1.98,2.2,2.42,2,1.07
71.47,37.44,38.27,34.24,1.15,176,109,218,12,3.54,3.66,3.78,2,0.0
72.6,37.22,36.91,32.93,1.2,176,109,218,12,2.66,2.78,2.9,1,0.0
71.47,38.35,34.96,30.88,1.3,176,109,218,12,1.05,1.12,1.2,3,0.0
70.99,36.91,37.9,33.34,1.15,176,109,218,12,15.31,15.77,16.24,1,28.61
69.82,37.67,35.43,33.91,1.68,176,109,218,12,1.37,1.56,1.76,3,0.0
68.47,36.83,37.75,32.17,2.33,176,109,218,12,1.29,1.61,1.93,2,0.0
72.96,38.87,35.36,30.35,1.15,176,109,218,12,2.73,2.83,2.93,2,0.0
70.5,36.45,36.99,32.0,1.46,176,109,218,12,1.95,2.15,2.34,0,0.0
70.3,36.37,36.76,32.84,1.45,176,109,218,12,1.73,1.9,2.08,2,0.0
71.82,35.9,36.14,31.83,1.61,176,109,218,12,1.12,1.27,1.42,1,0.0
72.96,37.06,36.29,33.09,1.25,176,109,218,12,0.83,0.88,0.93,2,0.0
71.75,38.72,34.88,32.51,3.52,176,109,218,12,0.32,0.44,0.56,4,0.0
70.5,36.68,37.59,31.92,1.18,176,109,218,12,1.12,1.17,1.22,3,0.0
71.54,38.94,35.43,31.14,1.25,176,109,218,12,0.83,0.88,0.93,4,0.0
71.13,35.83,35.83,32.51,1.25,176,109,218,12,0.42,0.44,0.46,3,0.0
70.85,36.29,35.9,32.59,2.26,176,109,218,12,0.51,0.64,0.76,3,0.0
71.89,36.99,36.53,30.79,1.5,176,109,218,12,0.22,0.24,0.27,2,0.0
69.55,36.68,37.44,31.4,1.5,176,109,218,12,0.22,0.24,0.27,5,0.0
72.32,37.06,35.28,33.34,2.01,176,109,218,12,0.37,0.44,0.51,3,0.0
72.18,37.59,34.24,32.0,8.06,176,109,218,12,0.27,0.44,0.61,4,0.0
71.06,37.37,35.59,31.49,1.0,176,109,218,12,0.1,0.1,0.1,3,0.0
70.99,41.55,36.91,32.51,1.0,176,109,218,12,0.19,0.19,0.19,1,0.0
71.97,36.45,36.53,31.23,2.0,176,109,218,12,0.24,0.29,0.34,2,0.0
