Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
82.82,38.87,44.81,43.99,1.24,176,118,229,10,3.1,3.27,3.44,3,0.0
81.81,38.35,42.81,42.18,1.02,176,118,229,10,4.61,4.64,4.66,1,0.0
80.49,36.83,44.06,42.81,1.1,176,118,229,10,6.49,6.64,6.79,2,0.0
81.19,37.37,45.43,43.65,1.14,176,118,229,10,4.44,4.59,4.74,2,0.0
81.81,36.83,47.57,41.9,1.14,176,118,229,10,11.38,11.72,12.06,1,31.84
79.64,38.42,44.13,41.76,1.56,176,118,229,10,6.49,7.23,7.96,1,28.61
82.63,39.53,44.4,42.81,1.0,176,118,229,10,1.95,1.95,1.95,4,0.0
80.83,36.37,44.34,42.39,1.72,176,118,229,10,2.3,2.64,2.98,2,0.0
81.9,37.75,48.17,44.47,1.0,176,118,229,10,5.66,5.66,5.66,2,13.77
81.01,37.97,45.97,43.79,1.43,176,118,229,10,0.76,0.83,0.9,5,0.0
80.66,38.87,45.15,41.9,1.06,176,118,229,10,8.81,8.94,9.06,2,24.02
82.36,37.29,45.15,44.2,1.15,176,118,229,10,2.12,2.2,2.27,3,0.59
80.66,38.94,44.4,43.44,1.65,176,118,229,10,1.24,1.42,1.59,3,0.0
81.9,38.2,44.4,42.25,1.34,176,118,229,10,2.22,2.39,2.56,3,0.0
82.63,37.44,44.06,43.92,1.48,176,118,229,10,1.86,2.05,2.25,3,0.0
83.2,37.82,45.7,42.32,1.45,176,118,229,10,0.98,1.07,1.17,3,0.0
81.81,38.72,46.23,44.34,1.05,176,118,229,10,3.76,3.81,3.86,3,0.0
80.32,39.6,45.97,45.43,1.78,176,118,229,10,2.32,2.69,3.05,3,0.0
82.45,39.01,45.7,40.11,1.25,176,118,229,10,1.66,1.76,1.86,2,0.0
81.9,36.06,45.09,42.74,1.19,176,118,229,10,6.42,6.69,6.96,0,0.0
80.57,36.76,44.2,42.6,1.81,176,118,229,10,1.17,1.37,1.56,2,0.0
80.75,37.97,45.22,44.13,1.41,176,118,229,10,2.15,2.34,2.54,2,1.17
79.06,36.99,45.09,43.85,1.65,176,118,229,10,1.24,1.42,1.59,3,0.0
80.83,37.44,43.65,41.83,1.0,176,118,229,10,0.98,0.98,0.98,4,0.0
80.49,38.35,45.83,42.81,1.38,176,118,229,10,1.71,1.86,2.0,4,0.0
80.66,38.79,44.95,42.74,1.63,176,118,229,10,1.46,1.66,1.86,4,0.0
81.63,36.37,44.27,43.92,2.51,176,118,229,10,0.54,0.68,0.83,3,0.0
80.06,37.9,44.95,41.76,2.62,176,118,229,10,0.68,0.88,1.07,4,0.0
81.36,37.52,44.61,42.39,1.49,176,118,229,10,2.51,2.78,3.05,1,0.0
79.64,37.14,44.68,43.09,1.45,176,118,229,10,0.98,1.07,1.17,1,0.0
81.19,37.82,46.17,41.76,1.07,176,118,229,10,1.39,1.42,1.44,2,0.0
81.27,37.29,45.15,43.51,1.09,176,118,229,10,1.1,1.12,1.15,2,0.0
