Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
76.67,44.4,47.7,43.85,1.23,176,118,224,10,5.35,5.62,5.88,2,0.0
76.67,44.47,36.53,45.97,1.01,176,118,224,10,16.43,16.46,16.48,1,31.84
79.39,46.57,40.9,42.74,1.28,176,118,224,10,4.69,4.98,5.27,3,0.0
77.06,45.15,43.3,41.05,1.14,176,118,224,10,14.97,15.38,15.8,2,24.02
77.37,45.76,40.55,43.3,1.01,176,118,224,10,13.01,13.04,13.06,1,28.61
79.22,46.64,41.83,42.18,1.42,176,118,224,10,1.29,1.42,1.54,3,0.0
77.06,44.54,40.62,43.99,1.06,176,118,224,10,11.08,11.23,11.38,2,13.77
76.59,43.79,45.29,44.34,1.34,176,118,224,10,2.54,2.73,2.93,1,0.0
77.45,45.56,40.62,42.95,1.39,176,118,224,10,4.91,5.32,5.74,3,0.0
75.9,46.84,36.14,42.6,5.04,176,118,224,10,0.39,0.59,0.78,4,0.0
76.74,46.17,40.62,44.54,1.72,176,118,224,10,0.81,0.93,1.05,2,0.0
76.9,45.76,45.9,43.44,1.04,176,118,224,10,2.86,2.88,2.9,0,0.0
76.44,44.54,43.79,45.97,1.67,176,118,224,10,0.34,0.39,0.44,3,0.0
76.36,44.2,48.03,42.11,1.0,176,118,224,10,2.25,2.25,2.25,2,1.17
76.74,44.13,47.57,44.34,1.26,176,118,224,10,5.08,5.37,5.66,2,0.0
76.74,46.03,47.1,40.55,1.28,176,118,224,10,1.15,1.22,1.29,3,0.0
77.06,45.36,42.88,43.09,1.33,176,118,224,10,0.32,0.34,0.37,1,0.0
77.13,45.43,43.3,42.74,1.08,176,118,224,10,1.29,1.32,1.34,2,0.0
77.13,45.15,45.49,44.68,1.89,176,118,224,10,1.78,2.1,2.42,4,0.0
77.84,46.1,42.95,42.88,1.58,176,118,224,10,0.78,0.88,0.98,2,0.0
76.28,46.84,37.22,43.37,1.06,176,118,224,10,1.68,1.71,1.73,1,0.0
77.29,44.54,35.67,41.97,1.2,176,118,224,10,0.51,0.54,0.56,4,0.0
77.37,46.17,47.7,45.22,1.4,176,118,224,10,0.54,0.59,0.64,3,0.0
76.59,45.83,46.9,42.74,2.01,176,118,224,10,0.61,0.73,0.85,3,0.0
78.32,43.09,41.97,42.95,1.5,176,118,224,10,0.66,0.73,0.81,4,0.0
76.21,45.09,40.11,45.15,1.23,176,118,224,10,1.86,1.95,2.05,3,0.59
77.92,44.47,39.75,43.79,1.0,176,118,224,10,0.19,0.19,0.19,3,0.0
76.13,47.9,45.02,44.2,1.72,176,118,224,10,0.81,0.93,1.05,3,0.0
75.83,45.36,45.83,46.03,3.01,176,118,224,10,0.15,0.19,0.24,2,0.0
77.6,45.63,35.9,42.67,2.0,176,118,224,10,0.12,0.15,0.17,5,0.0
76.82,45.63,42.25,43.23,2.01,176,118,224,10,0.49,0.59,0.68,4,0.0
77.29,44.68,42.11,43.72,2.0,176,118,224,10,0.24,0.29,0.34,2,0.0
