Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
75.15,40.47,45.02,39.89,1.2,176,118,222,10,5.52,5.76,6.01,2,0.0
76.74,41.83,45.22,42.67,1.12,176,118,222,10,14.11,14.45,14.8,1,28.61
76.28,42.46,45.7,43.3,1.39,176,118,222,10,1.39,1.51,1.64,2,0.0
77.68,39.67,43.65,42.74,1.71,176,118,222,10,3.54,4.05,4.57,3,0.0
76.59,41.69,41.97,42.39,1.08,176,118,222,10,12.82,13.04,13.26,2,28.52
75.98,39.53,43.65,43.16,1.07,176,118,222,10,11.11,11.28,11.45,1,30.08
76.44,39.75,45.29,43.02,1.05,176,118,222,10,8.2,8.3,8.4,2,10.94
74.56,41.69,45.15,42.11,1.07,176,118,222,10,1.39,1.42,1.44,3,0.0
75.07,42.11,43.92,41.69,1.05,176,118,222,10,3.86,3.91,3.96,3,0.0
76.28,40.18,45.7,42.74,1.45,176,118,222,10,0.98,1.07,1.17,3,0.0
75.83,38.57,44.81,41.26,1.0,176,118,222,10,1.56,1.56,1.56,2,0.0
74.04,40.55,45.22,43.44,1.2,176,118,222,10,2.15,2.25,2.34,3,0.0
75.75,40.69,43.72,43.09,1.14,176,118,222,10,0.71,0.73,0.76,5,0.0
76.74,40.26,44.54,42.46,1.05,176,118,222,10,1.88,1.9,1.93,4,0.0
75.98,39.82,42.18,42.46,1.5,176,118,222,10,0.66,0.73,0.81,4,0.0
74.93,40.33,44.88,42.46,1.87,176,118,222,10,0.83,0.98,1.12,4,0.0
74.41,41.12,46.3,43.92,1.02,176,118,222,10,5.0,5.03,5.05,2,0.0
76.44,40.76,43.44,43.65,1.13,176,118,222,10,3.12,3.22,3.32,1,0.0
75.75,38.94,43.65,41.83,1.05,176,118,222,10,4.05,4.1,4.15,0,0.0
77.92,40.9,44.06,43.09,1.0,176,118,222,10,0.29,0.29,0.29,2,0.0
75.83,39.97,44.4,42.25,1.4,176,118,222,10,0.54,0.59,0.64,2,0.0
76.51,40.62,43.3,43.37,1.58,176,118,222,10,1.56,1.76,1.95,1,0.0
75.45,40.83,43.65,44.95,1.31,176,118,222,10,2.1,2.25,2.39,3,0.59
76.74,40.9,43.51,43.02,1.33,176,118,222,10,2.32,2.49,2.66,2,1.27
74.85,39.46,44.68,43.16,1.08,176,118,222,10,1.29,1.32,1.34,3,0.0
75.75,41.62,45.29,43.23,1.0,176,118,222,10,0.88,0.88,0.88,3,0.0
74.41,41.4,45.02,41.33,1.0,176,118,222,10,0.39,0.39,0.39,1,0.0
75.07,40.47,43.99,42.81,2.01,176,118,222,10,0.37,0.44,0.51,4,0.0
75.75,40.4,43.37,41.76,5.04,176,118,222,10,0.39,0.59,0.78,4,0.0
75.37,41.83,45.29,39.75,1.0,176,118,222,10,0.39,0.39,0.39,3,0.0
75.6,40.9,44.88,41.33,1.67,176,118,222,10,0.34,0.39,0.44,3,0.0
74.04,42.53,46.77,44.4,2.31,176,118,222,10,0.9,1.12,1.34,2,0.0
