Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
35.75,19.58,20.84,21.32,1.09,75,53,64,12,7.28,7.42,7.57,3,8.59
29.91,18.1,19.58,20.47,1.9,75,53,64,12,1.07,1.27,1.46,1,0.0
45.22,20.59,19.45,18.65,1.19,75,53,64,12,7.74,8.06,8.37,2,10.45
45.7,19.84,20.09,20.09,1.15,75,53,64,12,1.42,1.46,1.51,1,0.0
45.83,20.59,19.58,18.65,1.14,75,53,64,12,8.06,8.3,8.54,2,12.11
45.76,19.84,21.44,20.34,1.25,75,53,64,12,7.32,7.72,8.1,2,10.35
32.09,19.05,20.72,18.79,1.11,75,53,64,12,8.1,8.3,8.5,2,8.2
44.61,17.68,16.35,19.84,1.17,75,53,64,12,6.49,6.74,6.98,3,8.89
44.81,19.05,20.47,19.45,1.14,75,53,64,12,7.96,8.2,8.45,2,9.96
34.64,19.32,19.96,18.79,1.84,75,53,64,12,0.71,0.83,0.95,4,0.0
29.28,20.47,20.09,21.2,2.21,75,53,64,12,0.64,0.78,0.93,4,0.0
45.63,20.22,19.05,21.2,1.14,75,53,64,12,8.15,8.4,8.64,3,12.01
36.29,20.22,19.05,22.03,1.28,75,53,64,12,7.37,7.81,8.25,3,8.69
43.23,19.71,20.47,19.32,1.2,75,53,64,12,1.03,1.07,1.12,2,0.0
43.72,19.45,18.92,20.72,1.27,75,53,64,12,1.56,1.66,1.76,1,0.0
41.48,18.79,19.32,16.95,1.13,75,53,64,12,0.81,0.83,0.85,4,0.0
29.46,19.96,19.96,20.72,1.11,75,53,64,12,7.01,7.18,7.35,3,10.74
46.57,17.68,21.2,20.09,1.36,75,53,64,12,1.81,1.95,2.1,1,0.0
45.43,20.72,18.65,20.59,1.2,75,53,64,12,1.03,1.07,1.12,3,0.0
45.22,18.1,20.96,17.25,1.41,75,53,64,12,1.07,1.17,1.27,2,0.0
18.1,18.24,18.79,19.45,1.76,75,53,64,12,0.93,1.07,1.22,4,0.0
45.22,20.59,19.58,19.05,1.6,75,53,64,12,0.56,0.64,0.71,0,0.0
44.54,20.47,19.45,21.44,1.18,75,53,64,12,1.12,1.17,1.22,3,0.0
46.64,19.19,19.45,20.84,6.03,75,53,64,12,0.22,0.34,0.46,2,0.0
33.83,18.65,19.19,19.19,1.2,75,53,64,12,1.03,1.07,1.12,4,0.0
45.56,20.34,21.44,20.09,1.14,75,53,64,12,0.71,0.73,0.76,3,0.0
45.63,19.05,19.19,20.96,2.01,75,53,64,12,0.73,0.88,1.03,3,0.0
43.92,21.2,19.96,20.22,1.07,75,53,64,12,1.39,1.42,1.44,2,0.0
20.84,18.38,20.59,20.22,1.5,75,53,64,12,0.22,0.24,0.27,5,0.0
45.76,20.59,17.39,19.71,1.0,75,53,64,12,1.46,1.46,1.46,2,0.0
44.68,17.25,20.09,22.26,1.22,75,53,64,12,0.93,0.98,1.03,1,0.0
47.17,19.19,19.71,19.84,1.2,75,53,64,12,1.03,1.07,1.12,3,0.0
