Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
58.57,26.32,24.58,22.38,1.34,75,53,63,12,1.9,2.05,2.2,1,0.0
35.51,22.95,25.0,23.61,1.11,75,53,63,12,6.71,6.88,7.06,3,8.69
58.19,23.28,25.21,23.94,1.15,75,53,63,12,5.66,5.86,6.06,2,10.35
27.59,23.94,25.62,24.26,1.48,75,53,63,12,1.64,1.81,1.98,2,0.0
56.73,26.22,25.0,23.5,1.06,75,53,63,12,1.59,1.61,1.64,2,0.0
57.74,26.52,24.58,23.83,1.01,75,53,63,12,7.15,7.18,7.2,3,9.96
36.29,26.72,24.15,23.83,1.21,75,53,63,12,5.74,6.01,6.27,3,12.01
57.17,26.12,24.05,24.69,1.11,75,53,63,12,7.01,7.18,7.35,2,8.59
58.76,26.22,25.0,24.9,1.16,75,53,63,12,6.27,6.49,6.71,2,12.11
58.25,24.9,24.69,22.49,1.06,75,53,63,12,6.64,6.74,6.84,3,8.89
47.37,26.42,26.12,23.06,1.16,75,53,63,12,2.64,2.73,2.83,1,0.0
26.82,25.21,24.9,23.06,1.81,75,53,63,12,1.17,1.37,1.56,3,0.0
25.21,25.92,24.15,23.72,1.89,75,53,63,12,0.95,1.12,1.29,3,0.0
58.31,26.52,23.83,23.39,2.02,75,53,63,12,1.1,1.32,1.54,4,0.0
56.28,24.37,25.72,22.83,1.05,75,53,63,12,1.88,1.9,1.93,2,0.0
56.6,26.12,25.1,23.61,1.07,75,53,63,12,1.39,1.42,1.44,4,0.0
58.44,23.94,27.21,23.17,1.42,75,53,63,12,1.29,1.42,1.54,4,0.0
57.81,24.37,24.9,22.38,1.25,75,53,63,12,1.66,1.76,1.86,2,0.0
56.85,25.62,26.42,25.1,1.28,75,53,63,12,6.86,7.28,7.69,2,8.2
27.11,26.62,24.05,23.28,1.37,75,53,63,12,5.84,6.3,6.76,3,10.45
25.52,24.69,23.72,21.68,1.26,75,53,63,12,6.1,6.44,6.79,2,10.74
47.44,23.72,26.02,22.95,1.14,75,53,63,12,1.51,1.56,1.61,4,0.0
58.0,26.52,26.22,25.31,1.24,75,53,63,12,1.76,1.86,1.95,1,0.0
57.55,25.82,25.52,22.83,1.61,75,53,63,12,1.68,1.9,2.12,1,0.0
51.55,24.9,25.92,22.72,1.14,75,53,63,12,0.71,0.73,0.76,5,0.0
25.52,27.11,25.1,23.83,1.0,75,53,63,12,1.56,1.56,1.56,3,0.0
58.63,25.21,24.05,23.06,1.2,75,53,63,12,1.54,1.61,1.68,2,0.0
57.23,27.59,25.1,24.26,1.12,75,53,63,12,1.71,1.76,1.81,4,0.0
57.49,26.02,26.32,22.15,1.41,75,53,63,12,1.61,1.76,1.9,3,0.0
58.06,25.52,25.0,22.72,1.58,75,53,63,12,0.78,0.88,0.98,0,0.0
58.31,26.22,26.82,21.8,1.06,75,53,63,12,1.78,1.81,1.83,1,0.0
57.36,25.62,25.92,24.9,1.22,75,53,63,12,1.95,2.05,2.15,3,0.0
