Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
54.95,26.62,27.01,25.41,1.4,75,53,55,12,2.47,2.69,2.9,1,0.0
51.3,23.61,25.41,25.62,1.02,75,53,55,12,6.96,6.98,7.01,3,8.69
56.54,22.61,24.9,26.32,1.33,75,53,55,12,5.88,6.3,6.71,2,10.35
56.85,27.69,27.59,26.82,1.1,75,53,55,12,5.1,5.22,5.35,3,9.96
53.61,26.52,27.59,25.72,1.15,75,53,55,12,2.03,2.1,2.17,1,0.0
57.55,25.72,26.22,25.0,1.04,75,53,55,12,7.1,7.18,7.25,2,12.11
36.68,26.52,27.69,25.82,1.06,75,53,55,12,1.68,1.71,1.73,4,0.0
54.44,25.1,27.31,25.52,1.06,75,53,55,12,6.93,7.03,7.13,3,8.89
36.99,25.82,25.52,25.72,1.04,75,53,55,12,5.71,5.76,5.81,3,10.45
51.1,26.62,26.72,27.11,1.85,75,53,55,12,1.42,1.66,1.9,4,0.0
45.63,27.31,26.72,24.37,1.25,75,53,55,12,5.69,6.01,6.32,3,12.01
55.39,24.47,25.52,25.52,1.0,75,53,55,12,1.37,1.37,1.37,2,0.0
53.74,25.31,26.42,26.12,1.24,75,53,55,12,5.05,5.32,5.59,2,8.2
53.99,25.0,26.62,26.82,1.26,75,53,55,12,5.49,5.81,6.13,2,10.74
54.06,27.11,27.11,25.92,1.16,75,53,55,12,2.54,2.64,2.73,4,0.0
54.5,25.92,25.1,25.31,1.51,75,53,55,12,1.76,1.95,2.15,2,0.0
35.9,24.69,26.72,26.72,1.0,75,53,55,12,1.07,1.07,1.07,0,0.0
56.79,27.88,25.41,28.72,1.34,75,53,55,12,1.59,1.71,1.83,1,0.0
53.1,26.42,24.58,27.11,1.06,75,53,55,12,1.68,1.71,1.73,2,0.0
54.76,26.22,26.82,26.62,1.31,75,53,55,12,1.37,1.46,1.56,2,0.0
56.98,26.02,24.58,24.9,2.1,75,53,55,12,1.73,2.1,2.47,2,0.0
36.37,26.92,25.31,26.32,1.41,75,53,55,12,1.61,1.76,1.9,3,0.0
53.29,25.92,25.41,23.83,1.0,75,53,55,12,1.86,1.86,1.86,1,0.0
34.4,25.82,25.62,27.5,1.2,75,53,55,12,2.66,2.78,2.9,1,0.0
55.2,26.82,25.72,24.05,1.66,75,53,55,12,4.18,4.74,5.3,2,8.59
34.56,25.82,25.52,26.02,1.25,75,53,55,12,1.24,1.32,1.39,4,0.0
56.35,24.69,26.12,27.31,1.38,75,53,55,12,0.85,0.93,1.0,4,0.0
56.6,25.52,27.21,27.01,1.17,75,53,55,12,1.22,1.27,1.32,3,0.0
52.52,25.72,24.58,24.05,1.0,75,53,55,12,0.88,0.88,0.88,5,0.0
54.76,26.42,25.52,26.42,1.13,75,53,55,12,1.61,1.66,1.71,3,0.0
56.35,26.62,26.12,25.1,1.18,75,53,55,12,1.73,1.81,1.88,3,0.0
56.28,23.06,26.02,26.62,1.16,75,53,55,12,1.93,2.0,2.08,3,0.0
