Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
74.93,34.24,32.93,32.84,1.4,75,41,53,10,1.93,2.1,2.27,3,0.0
73.61,34.4,47.5,32.59,1.04,75,41,53,10,5.22,5.27,5.32,3,8.69
75.22,33.26,33.75,32.93,1.39,75,41,53,10,1.39,1.51,1.64,3,0.0
54.37,31.66,47.1,34.88,1.08,75,41,53,10,2.69,2.73,2.78,1,0.0
75.07,33.83,33.18,32.0,1.16,75,41,53,10,2.64,2.73,2.83,4,0.0
53.35,33.09,45.63,33.26,1.14,75,41,53,10,5.35,5.52,5.69,2,10.74
72.25,32.09,46.17,33.59,1.05,75,41,53,10,4.54,4.59,4.64,2,10.35
73.82,31.32,45.97,31.75,1.28,75,41,53,10,5.1,5.42,5.74,2,12.11
74.48,34.08,32.84,32.84,1.29,75,41,53,10,4.49,4.78,5.08,3,9.96
75.15,32.42,45.02,31.83,1.78,75,41,53,10,2.32,2.69,3.05,2,0.0
52.97,33.34,31.57,32.84,1.39,75,41,53,10,1.39,1.51,1.64,4,0.0
74.7,32.76,32.34,32.26,1.36,75,41,53,10,2.44,2.64,2.83,2,0.0
75.3,32.68,46.23,32.34,1.29,75,41,53,10,4.49,4.78,5.08,2,8.2
75.15,32.59,45.56,33.34,1.44,75,41,53,10,2.27,2.49,2.71,3,0.0
74.41,32.68,33.42,31.66,1.09,75,41,53,10,4.88,4.98,5.08,3,10.45
73.17,33.09,31.57,31.32,1.04,75,41,53,10,5.81,5.86,5.91,2,8.59
74.41,33.34,46.9,33.34,1.48,75,41,53,10,3.05,3.37,3.69,1,0.0
78.57,31.75,33.01,30.71,1.15,75,41,53,10,2.12,2.2,2.27,3,0.0
74.85,32.17,32.59,33.26,1.38,75,41,53,10,1.71,1.86,2.0,3,0.0
53.93,33.99,32.09,33.5,1.05,75,41,53,10,2.08,2.1,2.12,1,0.0
73.03,33.09,46.97,32.0,1.4,75,41,53,10,3.96,4.3,4.64,3,12.01
76.44,33.09,32.51,32.26,1.51,75,41,53,10,1.76,1.95,2.15,4,0.0
74.26,32.51,33.59,32.76,1.16,75,41,53,10,2.54,2.64,2.73,2,0.0
74.48,32.42,32.59,33.42,1.0,75,41,53,10,2.93,2.93,2.93,4,0.0
76.9,32.68,32.68,32.68,1.04,75,41,53,10,2.27,2.3,2.32,2,0.0
75.83,33.5,44.81,33.75,1.24,75,41,53,10,2.69,2.83,2.98,1,0.0
73.97,31.75,32.26,32.42,1.05,75,41,53,10,2.08,2.1,2.12,0,0.0
74.78,32.42,30.71,32.42,1.71,75,41,53,10,1.83,2.1,2.37,1,0.0
73.39,32.68,46.44,35.28,1.51,75,41,53,10,1.32,1.46,1.61,5,0.0
74.41,31.92,45.56,32.42,1.12,75,41,53,10,4.52,4.64,4.76,3,8.89
74.33,32.93,32.76,34.32,1.28,75,41,53,10,1.88,2.0,2.12,4,0.0
73.17,31.57,34.16,32.09,1.0,75,41,53,10,2.05,2.05,2.05,2,0.0
