Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
44.75,22.95,28.07,24.9,1.0,75,47,56,12,7.62,7.62,7.62,3,8.69
54.06,25.72,27.21,25.92,1.34,75,47,56,12,7.89,8.45,9.01,2,10.45
28.54,25.72,28.16,25.62,1.41,75,47,56,12,6.52,7.08,7.64,3,8.89
38.12,25.92,27.31,25.72,1.71,75,47,56,12,1.15,1.32,1.49,4,0.0
36.91,24.79,27.01,24.9,1.2,75,47,56,12,2.05,2.15,2.25,1,0.0
55.01,24.47,28.16,23.72,1.22,75,47,56,12,6.66,6.98,7.3,3,8.59
53.35,23.94,28.72,24.9,1.11,75,47,56,12,7.72,7.91,8.1,2,10.35
54.82,26.42,25.72,25.31,1.1,75,47,56,12,6.69,6.84,6.98,3,12.01
55.97,25.0,27.01,24.15,1.23,75,47,56,12,6.88,7.23,7.57,2,12.11
54.37,23.83,26.02,27.69,1.48,75,47,56,12,7.47,8.2,8.94,2,9.96
27.21,23.72,27.69,24.47,1.03,75,47,56,12,7.18,7.23,7.28,2,8.2
54.06,25.1,27.31,24.79,1.08,75,47,56,12,1.2,1.22,1.24,2,0.0
45.7,25.1,27.5,27.5,1.0,75,47,56,12,7.32,7.32,7.32,3,10.74
56.28,22.26,26.52,26.02,1.37,75,47,56,12,1.17,1.27,1.37,4,0.0
53.1,25.1,26.92,26.62,3.23,75,47,56,12,0.76,1.03,1.29,3,0.0
53.8,26.32,27.01,26.42,1.05,75,47,56,12,2.08,2.1,2.12,1,0.0
53.35,26.22,27.88,26.02,1.89,75,47,56,12,0.95,1.12,1.29,2,0.0
35.67,23.06,27.21,27.88,1.25,75,47,56,12,1.24,1.32,1.39,2,0.0
52.33,24.9,28.35,26.32,1.0,75,47,56,12,1.66,1.66,1.66,4,0.0
54.18,25.62,29.64,24.9,1.76,75,47,56,12,0.93,1.07,1.22,3,0.0
54.88,24.79,28.63,25.72,1.58,75,47,56,12,1.56,1.76,1.95,1,0.0
35.9,25.82,25.92,26.02,1.37,75,47,56,12,1.17,1.27,1.37,1,0.0
35.51,26.32,28.07,25.0,1.0,75,47,56,12,0.59,0.59,0.59,0,0.0
37.9,25.41,28.07,24.15,1.42,75,47,56,12,1.29,1.42,1.54,4,0.0
54.57,26.42,27.11,24.69,1.76,75,47,56,12,0.93,1.07,1.22,4,0.0
54.25,26.12,25.82,26.22,1.25,75,47,56,12,0.83,0.88,0.93,3,0.0
54.12,26.32,27.11,27.4,1.58,75,47,56,12,0.78,0.88,0.98,2,0.0
54.63,24.26,26.72,23.94,1.59,75,47,56,12,1.34,1.51,1.68,3,0.0
52.2,24.26,27.78,25.92,1.22,75,47,56,12,1.44,1.51,1.59,1,0.0
38.2,22.95,29.28,25.62,1.14,75,47,56,12,1.51,1.56,1.61,3,0.0
53.42,24.79,26.62,24.47,1.51,75,47,56,12,0.88,0.98,1.07,2,0.0
