Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
57.87,28.82,25.21,26.82,1.07,75,47,59,10,1.49,1.51,1.54,2,0.0
35.59,27.21,29.46,25.52,1.3,75,47,59,10,6.79,7.23,7.67,3,8.89
56.79,28.07,27.4,28.16,1.28,75,47,59,10,6.44,6.84,7.23,3,8.69
57.3,28.07,25.31,26.72,1.05,75,47,59,10,6.03,6.1,6.18,2,10.35
57.81,27.69,27.31,27.78,1.11,75,47,59,10,7.81,8.01,8.2,2,10.45
56.79,28.72,30.97,27.4,1.25,75,47,59,10,1.66,1.76,1.86,1,0.0
57.74,27.69,25.62,27.11,1.59,75,47,59,10,1.34,1.51,1.68,3,0.0
57.04,26.32,29.09,28.35,1.0,75,47,59,10,6.74,6.74,6.74,3,12.01
56.41,28.82,26.42,28.35,1.1,75,47,59,10,7.4,7.57,7.74,3,8.59
57.93,27.78,30.79,27.97,1.06,75,47,59,10,5.64,5.71,5.79,2,12.11
58.19,26.72,27.11,26.82,1.65,75,47,59,10,1.24,1.42,1.59,1,0.0
58.5,28.72,27.69,25.1,1.34,75,47,59,10,1.27,1.37,1.46,2,0.0
58.95,27.4,27.31,26.72,1.2,75,47,59,10,1.03,1.07,1.12,3,0.0
35.75,27.5,29.28,26.22,1.04,75,47,59,10,8.47,8.54,8.62,2,8.2
55.01,27.21,29.0,26.42,1.01,75,47,59,10,7.54,7.57,7.59,2,9.96
57.68,28.35,30.88,26.72,1.06,75,47,59,10,1.68,1.71,1.73,2,0.0
58.25,28.16,30.18,27.59,1.22,75,47,59,10,1.95,2.05,2.15,4,0.0
57.55,29.09,29.18,27.5,1.0,75,47,59,10,1.07,1.07,1.07,3,0.0
57.42,26.72,30.79,28.26,2.26,75,47,59,10,0.51,0.64,0.76,4,0.0
56.28,26.82,27.5,28.44,1.9,75,47,59,10,1.07,1.27,1.46,4,0.0
56.73,29.0,26.82,27.78,1.3,75,47,59,10,1.05,1.12,1.2,4,0.0
55.97,27.01,25.62,28.44,2.03,75,47,59,10,1.95,2.34,2.73,1,0.0
57.81,29.0,29.82,24.58,1.51,75,47,59,10,0.88,0.98,1.07,3,0.0
57.49,27.01,29.73,28.16,1.1,75,47,59,10,6.59,6.74,6.88,3,10.74
34.56,27.59,27.4,27.4,1.36,75,47,59,10,2.12,2.3,2.47,1,0.0
56.16,28.44,27.01,27.88,1.22,75,47,59,10,0.93,0.98,1.03,2,0.0
56.98,28.16,30.71,26.12,1.43,75,47,59,10,2.59,2.83,3.08,1,0.0
35.75,29.0,31.92,27.5,1.08,75,47,59,10,1.29,1.32,1.34,3,0.0
57.23,26.92,30.18,27.21,1.28,75,47,59,10,1.15,1.22,1.29,2,0.0
58.88,28.16,28.91,26.12,1.25,75,47,59,10,0.83,0.88,0.93,0,0.0
56.73,27.97,27.11,29.0,2.0,75,47,59,10,0.24,0.29,0.34,5,0.0
35.2,27.31,27.31,29.09,1.34,75,47,59,10,1.27,1.37,1.46,4,0.0
