Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
24.79,26.12,25.41,24.58,1.07,75,38,44,10,5.76,5.86,5.96,2,10.74
26.22,25.72,26.52,25.72,1.37,75,38,44,10,6.57,7.08,7.59,2,12.11
58.69,26.02,27.01,25.41,1.61,75,38,44,10,1.12,1.27,1.42,3,0.0
61.81,26.72,26.22,25.31,1.93,75,38,44,10,1.32,1.56,1.81,4,0.0
62.84,27.11,26.22,27.31,1.08,75,38,44,10,6.76,6.88,7.01,3,8.69
23.5,25.92,24.9,23.39,1.13,75,38,44,10,6.44,6.64,6.84,3,9.96
56.41,26.62,25.41,25.0,1.05,75,38,44,10,6.52,6.59,6.66,3,10.45
56.35,26.52,26.02,26.02,1.2,75,38,44,10,7.06,7.37,7.69,2,10.35
27.11,27.01,25.52,25.1,1.05,75,38,44,10,5.84,5.91,5.98,3,8.89
24.05,26.62,25.52,25.92,1.34,75,38,44,10,5.69,6.1,6.52,3,12.01
24.05,25.1,25.21,25.72,1.18,75,38,44,10,1.12,1.17,1.22,2,0.0
24.26,27.5,23.83,26.02,1.12,75,38,44,10,1.71,1.76,1.81,1,0.0
62.58,25.82,25.82,24.69,1.11,75,38,44,10,1.9,1.95,2.0,3,0.0
60.22,24.69,25.72,24.79,1.07,75,38,44,10,5.76,5.86,5.96,2,8.2
25.1,26.52,28.16,25.0,1.06,75,38,44,10,1.78,1.81,1.83,4,0.0
26.42,26.52,26.62,24.69,1.07,75,38,44,10,1.39,1.42,1.44,3,0.0
57.17,26.02,24.26,26.32,1.24,75,38,44,10,1.76,1.86,1.95,4,0.0
64.51,24.47,25.41,27.88,1.08,75,38,44,10,2.49,2.54,2.59,1,0.0
23.94,25.82,25.82,25.62,2.3,75,38,44,10,1.42,1.76,2.1,2,0.0
25.82,25.92,25.31,25.0,2.01,75,38,44,10,0.73,0.88,1.03,5,0.0
56.41,24.58,27.4,26.22,1.3,75,38,44,10,1.78,1.9,2.03,4,0.0
24.58,27.11,26.82,25.52,1.37,75,38,44,10,2.34,2.54,2.73,1,0.0
25.21,24.58,26.62,24.58,1.0,75,38,44,10,2.25,2.25,2.25,1,0.0
59.39,26.92,24.37,25.21,1.2,75,38,44,10,5.52,5.76,6.01,2,8.59
56.22,25.0,25.82,25.41,2.4,75,38,44,10,1.05,1.32,1.59,4,0.0
26.52,25.0,25.41,26.92,1.15,75,38,44,10,1.42,1.46,1.51,3,0.0
57.11,25.82,25.62,25.92,1.22,75,38,44,10,0.93,0.98,1.03,3,0.0
62.0,26.82,25.92,25.1,1.17,75,38,44,10,2.44,2.54,2.64,2,0.0
54.63,25.41,23.94,26.22,1.55,75,38,44,10,1.44,1.61,1.78,1,0.0
59.71,25.82,25.31,25.41,1.25,75,38,44,10,1.24,1.32,1.39,2,0.0
59.71,25.72,26.42,25.72,1.37,75,38,44,10,1.17,1.27,1.37,0,0.0
57.3,24.26,24.37,25.52,1.17,75,38,44,10,1.83,1.9,1.98,2,0.0
