Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
58.57,33.67,33.09,31.92,1.15,75,44,56,10,1.42,1.46,1.51,2,0.0
58.25,33.67,33.83,33.83,1.59,75,44,56,10,1.34,1.51,1.68,4,0.0
57.62,34.08,34.24,32.26,1.02,75,44,56,10,6.96,6.98,7.01,3,10.74
57.36,34.08,33.59,34.32,1.04,75,44,56,10,7.59,7.67,7.74,2,12.11
59.07,33.42,33.99,34.72,1.15,75,44,56,10,6.57,6.79,7.01,2,8.2
56.6,32.34,34.96,33.5,1.1,75,44,56,10,2.0,2.05,2.1,4,0.0
56.85,33.67,34.8,31.83,1.3,75,44,56,10,1.78,1.9,2.03,1,0.0
58.38,32.34,35.43,33.91,1.44,75,44,56,10,6.66,7.28,7.89,2,10.45
58.38,33.42,32.0,33.67,1.22,75,44,56,10,6.66,6.98,7.3,3,8.69
37.52,32.76,35.51,35.36,1.23,75,44,56,10,1.86,1.95,2.05,1,0.0
58.76,30.62,35.04,32.93,1.46,75,44,56,10,1.2,1.32,1.44,3,0.0
58.95,33.99,33.34,33.34,1.51,75,44,56,10,1.32,1.46,1.61,2,0.0
41.48,32.84,35.51,33.26,1.16,75,44,56,10,1.32,1.37,1.42,4,0.0
59.39,31.49,34.72,31.32,1.39,75,44,56,10,6.18,6.69,7.2,3,8.59
56.98,33.59,32.51,33.42,1.03,75,44,56,10,8.45,8.5,8.54,2,10.35
58.0,33.42,32.51,34.08,1.08,75,44,56,10,1.29,1.32,1.34,4,0.0
55.65,32.84,36.06,35.12,1.1,75,44,56,10,6.3,6.44,6.59,3,8.89
57.55,31.75,34.72,32.51,1.1,75,44,56,10,6.69,6.84,6.98,2,9.96
59.84,32.51,35.2,31.92,1.19,75,44,56,10,1.64,1.71,1.78,2,0.0
58.31,33.09,34.4,33.59,1.22,75,44,56,10,0.93,0.98,1.03,3,0.0
56.92,31.14,33.26,34.88,1.22,75,44,56,10,1.44,1.51,1.59,1,0.0
56.73,33.75,32.84,31.75,1.21,75,44,56,10,6.35,6.64,6.93,3,12.01
56.22,34.32,34.4,33.99,1.08,75,44,56,10,1.2,1.22,1.24,2,0.0
56.22,32.34,34.48,32.09,1.29,75,44,56,10,0.73,0.78,0.83,2,0.0
58.25,34.32,32.84,32.42,1.18,75,44,56,10,1.12,1.17,1.22,3,0.0
58.31,33.34,35.36,32.68,1.38,75,44,56,10,0.85,0.93,1.0,3,0.0
59.58,32.34,35.98,35.04,1.59,75,44,56,10,1.34,1.51,1.68,1,0.0
39.89,33.91,35.28,33.09,1.0,75,44,56,10,1.66,1.66,1.66,1,0.0
55.2,32.84,33.26,31.66,1.09,75,44,56,10,2.39,2.44,2.49,4,0.0
56.6,32.34,34.72,33.34,1.87,75,44,56,10,0.83,0.98,1.12,0,0.0
58.25,33.83,32.34,31.75,1.13,75,44,56,10,0.81,0.83,0.85,3,0.0
40.26,31.92,30.71,31.83,1.0,75,44,56,10,0.19,0.19,0.19,5,0.0
