Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
18.38,16.5,18.38,18.79,1.02,210,51,111,11,37.92,38.04,38.16,2,64.55
18.1,15.56,19.19,17.96,1.08,210,51,111,11,9.16,9.33,9.5,2,11.33
19.19,15.56,18.79,18.1,1.14,210,51,111,11,3.83,3.96,4.08,3,3.42
19.45,18.24,18.79,19.96,1.09,210,51,111,11,4.78,4.88,4.98,3,2.34
17.1,17.68,19.19,19.05,1.09,210,51,111,11,5.69,5.81,5.93,0,0.98
18.65,16.5,17.96,17.96,1.04,210,51,111,11,2.56,2.59,2.61,1,0.49
18.24,17.39,20.34,19.19,1.38,210,51,111,11,0.85,0.93,1.0,3,0.2
19.32,16.19,17.96,18.79,1.22,210,51,111,11,11.57,12.11,12.65,1,8.11
19.05,16.04,19.05,20.09,1.19,210,51,111,11,2.25,2.34,2.44,2,1.76
19.32,16.95,19.32,17.82,1.07,210,51,111,11,5.96,6.06,6.15,1,0.78
18.79,17.39,18.1,17.96,1.49,210,51,111,11,2.3,2.54,2.78,2,0.1
17.25,15.72,17.82,18.79,1.64,210,51,111,11,1.81,2.05,2.3,2,0.2
16.95,15.07,20.47,17.53,1.34,210,51,111,11,3.27,3.52,3.76,1,0.39
19.32,17.39,17.25,18.38,1.08,210,51,111,11,5.08,5.18,5.27,2,5.27
20.22,16.95,18.38,17.96,1.38,210,51,111,11,0.85,0.93,1.0,3,0.0
19.96,16.5,18.38,19.05,1.9,210,51,111,11,1.07,1.27,1.46,4,0.1
