Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
20.72,23.5,19.58,21.56,1.04,210,45,113,11,30.76,30.96,31.15,2,63.67
20.09,23.17,20.34,21.68,1.1,210,45,113,11,4.3,4.4,4.49,3,2.25
20.34,24.47,21.2,22.61,1.12,210,45,113,11,9.94,10.2,10.47,1,8.89
19.84,22.72,20.22,22.15,1.21,210,45,113,11,6.86,7.18,7.5,2,6.54
22.49,22.83,19.84,21.8,1.0,210,45,113,11,2.93,2.93,2.93,1,0.49
20.84,25.21,21.68,19.05,1.34,210,45,113,11,6.32,6.79,7.25,1,0.29
19.58,23.06,21.2,21.68,1.0,210,45,113,11,8.89,8.89,8.89,2,9.57
20.09,23.5,20.09,22.72,1.04,210,45,113,11,5.13,5.18,5.22,3,4.98
23.06,22.61,21.56,18.51,1.05,210,45,113,11,4.15,4.2,4.25,1,0.39
21.44,24.58,22.26,20.96,1.27,210,45,113,11,2.81,2.98,3.15,2,1.46
20.22,22.15,20.22,20.59,1.27,210,45,113,11,4.88,5.18,5.47,0,0.98
22.61,24.37,20.47,22.49,1.62,210,45,113,11,3.03,3.42,3.81,2,0.0
21.08,24.69,20.09,19.96,2.01,210,45,113,11,0.85,1.03,1.2,4,0.1
22.38,22.49,21.08,20.47,1.05,210,45,113,11,1.98,2.0,2.03,3,0.0
22.38,24.26,19.71,20.96,1.32,210,45,113,11,2.0,2.15,2.3,3,0.2
18.38,23.39,20.22,21.68,1.55,210,45,113,11,1.44,1.61,1.78,2,0.2
