Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
26.12,25.0,19.05,23.39,1.14,210,42,119,11,2.22,2.3,2.37,2,0.1
25.1,25.0,21.8,25.0,1.06,210,42,119,11,35.79,36.13,36.48,2,63.57
25.62,22.38,21.08,24.47,1.02,210,42,119,11,6.76,6.79,6.81,2,10.94
23.72,23.61,19.84,25.31,1.0,210,42,119,11,4.69,4.69,4.69,3,3.22
25.92,25.62,20.09,24.47,1.07,210,42,119,11,4.76,4.83,4.91,3,2.34
25.82,24.15,20.72,25.62,1.1,210,42,119,11,5.49,5.62,5.74,0,0.98
24.37,24.05,21.2,24.79,1.16,210,42,119,11,4.05,4.2,4.35,1,0.49
25.92,25.72,20.22,25.0,1.06,210,42,119,11,10.89,11.04,11.18,1,10.16
24.9,24.58,19.45,25.62,1.09,210,42,119,11,6.08,6.2,6.32,2,5.76
26.22,24.69,20.47,23.72,1.09,210,42,119,11,6.88,7.03,7.18,1,0.29
25.41,24.37,21.56,26.02,1.65,210,42,119,11,2.15,2.44,2.73,1,0.29
25.72,26.22,20.09,25.1,1.07,210,42,119,11,1.39,1.42,1.44,3,0.0
25.0,25.82,19.58,25.72,1.68,210,42,119,11,1.71,1.95,2.2,2,0.0
24.37,22.95,19.84,25.92,1.39,210,42,119,11,1.39,1.51,1.64,3,0.2
26.42,24.58,19.45,25.62,1.68,210,42,119,11,1.37,1.56,1.76,4,0.1
27.31,23.94,20.22,25.31,1.0,210,42,119,11,2.34,2.34,2.34,2,1.56
