Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
31.23,31.4,30.27,29.55,1.01,210,42,117,9,15.26,15.28,15.31,2,64.06
29.55,30.18,30.44,30.71,1.25,210,42,117,9,3.0,3.17,3.34,3,0.1
32.26,30.71,31.83,31.75,1.12,210,42,117,9,10.72,10.99,11.26,1,8.98
30.79,32.51,30.71,30.27,1.18,210,42,117,9,7.94,8.25,8.57,1,0.39
33.26,31.75,30.27,30.44,1.34,210,42,117,9,4.22,4.54,4.86,2,11.62
31.92,31.49,29.82,31.49,1.22,210,42,117,9,7.69,8.06,8.42,3,3.22
31.4,31.92,31.14,32.17,1.0,210,42,117,9,4.1,4.1,4.1,1,0.29
29.73,32.26,33.42,29.09,1.03,210,42,117,9,7.67,7.72,7.76,2,4.98
30.97,29.91,30.97,33.67,1.3,210,42,117,9,2.93,3.12,3.32,4,0.1
30.88,33.91,31.83,31.83,1.06,210,42,117,9,7.72,7.81,7.91,0,0.98
30.79,31.14,30.71,30.79,1.07,210,42,117,9,3.08,3.12,3.17,2,0.0
32.26,31.83,32.26,31.06,1.09,210,42,117,9,6.27,6.4,6.52,2,0.0
30.09,32.09,30.79,31.66,1.33,210,42,117,9,4.74,5.08,5.42,3,2.34
31.4,31.83,31.57,33.26,1.38,210,42,117,9,3.2,3.47,3.74,2,2.15
33.5,32.68,31.32,30.88,1.19,210,42,117,9,7.45,7.76,8.08,1,0.68
33.01,31.32,31.49,30.62,1.28,210,42,117,9,3.54,3.76,3.98,3,0.1
