Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
25.1,22.95,25.62,23.39,1.18,210,48,109,11,7.42,7.72,8.01,2,11.43
25.1,20.22,24.15,23.17,1.13,210,48,109,11,4.93,5.08,5.22,3,3.32
24.69,19.45,26.02,24.79,1.14,210,48,109,11,3.03,3.12,3.22,1,0.39
23.83,18.65,23.39,24.58,1.11,210,48,109,11,5.0,5.13,5.25,1,0.29
24.58,19.84,22.95,25.62,1.03,210,48,109,11,11.3,11.38,11.45,1,8.98
24.05,20.72,26.72,22.83,1.11,210,48,109,11,36.91,37.5,38.09,2,64.16
23.83,21.08,22.72,24.37,1.13,210,48,109,11,6.54,6.74,6.93,2,4.98
25.52,22.72,22.72,23.94,1.42,210,48,109,11,1.83,2.0,2.17,2,0.0
23.83,23.28,24.15,23.17,1.08,210,48,109,11,5.37,5.47,5.57,0,0.98
24.26,21.56,23.39,23.28,1.05,210,48,109,11,3.96,4.0,4.05,3,2.25
23.72,19.45,22.95,25.62,1.05,210,48,109,11,3.86,3.91,3.96,1,0.29
20.84,21.44,22.95,23.61,1.04,210,48,109,11,2.66,2.69,2.71,2,2.54
23.72,20.96,25.62,23.17,2.35,210,48,109,11,0.78,0.98,1.17,3,0.0
25.0,20.22,23.17,24.79,1.0,210,48,109,11,1.46,1.46,1.46,3,0.1
21.92,21.2,24.9,23.83,1.13,210,48,109,11,1.61,1.66,1.71,2,0.2
24.05,22.15,24.79,24.69,1.67,210,48,109,11,0.68,0.78,0.88,4,0.1
