Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
25.52,24.05,27.21,24.69,1.08,210,42,117,9,36.57,37.01,37.45,2,63.57
25.52,21.2,25.0,27.01,1.03,210,42,117,9,7.86,7.91,7.96,3,3.22
26.52,22.38,24.05,24.69,1.25,210,42,117,9,9.69,10.2,10.72,1,10.16
26.32,23.94,24.05,25.31,1.12,210,42,117,9,3.42,3.52,3.61,2,0.1
28.16,23.39,26.92,24.26,1.19,210,42,117,9,5.0,5.22,5.44,0,0.98
24.79,23.72,24.79,25.82,1.08,210,42,117,9,3.98,4.05,4.13,1,0.49
26.92,23.83,26.42,26.42,1.35,210,42,117,9,5.18,5.57,5.96,1,0.29
25.1,21.56,25.62,26.62,1.33,210,42,117,9,5.79,6.2,6.62,2,5.76
27.11,20.59,27.88,24.15,1.22,210,42,117,9,0.93,0.98,1.03,2,0.0
26.72,22.26,26.82,26.22,1.03,210,42,117,9,7.76,7.81,7.86,2,10.94
26.32,21.56,25.92,26.22,1.65,210,42,117,9,3.83,4.35,4.86,3,2.34
27.01,22.72,26.52,25.21,1.83,210,42,117,9,1.29,1.51,1.73,4,0.1
24.47,23.17,24.79,26.52,1.31,210,42,117,9,2.83,3.03,3.22,1,0.29
24.69,22.61,27.78,26.52,1.0,210,42,117,9,2.25,2.25,2.25,2,1.56
25.41,22.72,25.72,25.0,1.25,210,42,117,9,1.24,1.32,1.39,3,0.2
25.62,20.59,28.07,26.32,2.21,210,42,117,9,0.64,0.78,0.93,3,0.0
