Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
22.95,22.61,23.61,22.95,1.25,210,15,78,9,3.93,4.15,4.37,1,0.49
23.5,22.72,24.58,21.8,1.02,210,15,78,9,39.65,39.75,39.84,2,63.57
22.38,23.06,23.39,24.47,1.21,210,15,78,9,5.13,5.37,5.62,3,2.34
23.06,22.49,25.1,24.15,1.26,210,15,78,9,7.96,8.4,8.84,2,12.11
22.95,22.95,20.72,22.03,1.38,210,15,78,9,5.1,5.52,5.93,3,3.22
23.83,24.37,24.9,23.94,1.03,210,15,78,9,10.42,10.5,10.57,1,8.69
25.0,23.17,22.61,24.58,1.04,210,15,78,9,2.56,2.59,2.61,2,1.56
23.17,22.72,20.96,25.62,1.02,210,15,78,9,5.2,5.22,5.25,2,5.86
24.9,23.61,23.72,21.68,1.32,210,15,78,9,2.0,2.15,2.3,1,0.29
25.62,23.28,24.47,23.83,1.15,210,15,78,9,2.83,2.93,3.03,0,0.98
23.39,24.9,21.68,25.21,2.16,210,15,78,9,0.88,1.07,1.27,3,0.1
25.31,23.17,23.83,23.39,1.03,210,15,78,9,6.69,6.74,6.79,1,0.59
22.72,24.58,23.72,23.5,1.13,210,15,78,9,2.42,2.49,2.56,2,0.0
23.83,22.72,23.17,22.95,2.42,210,15,78,9,0.66,0.83,1.0,3,0.1
26.12,22.38,22.83,22.95,1.06,210,15,78,9,1.59,1.61,1.64,2,0.0
24.69,21.32,23.5,23.94,1.17,210,15,78,9,0.61,0.64,0.66,4,0.1
