Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
31.23,32.51,30.0,31.49,1.01,210,48,119,9,7.94,7.96,7.98,2,10.94
31.23,31.14,31.23,29.0,1.09,210,48,119,9,3.49,3.56,3.64,1,0.49
30.71,34.16,30.62,29.82,1.11,210,48,119,9,4.81,4.93,5.05,0,0.98
30.0,31.14,31.14,31.66,1.04,210,48,119,9,7.98,8.06,8.13,1,0.29
29.91,30.0,29.64,30.44,1.23,210,48,119,9,35.86,37.06,38.26,2,63.57
31.06,29.82,29.73,30.35,1.17,210,48,119,9,9.42,9.77,10.11,1,10.16
29.64,29.46,30.88,32.84,1.5,210,48,119,9,5.44,6.01,6.57,3,2.34
30.97,29.18,30.18,29.64,1.13,210,48,119,9,2.42,2.49,2.56,2,0.0
30.53,29.91,31.23,30.88,1.32,210,48,119,9,3.05,3.27,3.49,1,0.29
30.71,30.71,28.35,29.64,1.16,210,48,119,9,1.32,1.37,1.42,3,0.0
29.09,29.82,29.37,31.32,1.28,210,48,119,9,4.69,4.98,5.27,3,3.22
31.32,30.35,31.75,30.35,1.4,210,48,119,9,1.93,2.1,2.27,2,1.56
30.35,33.34,29.28,29.28,1.25,210,48,119,9,1.24,1.32,1.39,4,0.1
28.16,32.26,32.09,29.46,1.03,210,48,119,9,6.88,6.93,6.98,2,5.76
30.27,31.32,30.18,29.82,1.22,210,48,119,9,1.44,1.51,1.59,3,0.2
32.84,28.26,30.79,31.57,1.28,210,48,119,9,2.3,2.44,2.59,2,0.1
