Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
85.3,42.6,33.91,22.83,1.11,108,39,85,11,4.81,4.93,5.05,0,0.0
85.3,42.6,33.91,22.83,1.01,108,39,85,11,9.59,9.62,9.64,1,7.03
85.3,42.6,33.91,22.83,1.21,108,39,85,11,2.56,2.69,2.81,1,0.0
85.3,42.6,33.91,22.83,1.1,108,39,85,11,12.57,12.84,13.11,2,1.37
85.3,42.6,33.91,22.83,1.31,108,39,85,11,2.83,3.03,3.22,1,1.37
85.3,42.6,33.91,22.83,1.11,108,39,85,11,9.01,9.23,9.45,2,76.56
85.3,42.6,33.91,22.83,1.0,108,39,85,11,5.96,5.96,5.96,2,0.68
85.3,42.6,33.91,22.83,1.04,108,39,85,11,10.84,10.94,11.04,3,3.52
85.3,42.6,33.91,22.83,1.38,108,39,85,11,4.78,5.18,5.57,1,3.91
85.3,42.6,33.91,22.83,1.26,108,39,85,11,4.25,4.49,4.74,2,0.29
85.3,42.6,33.91,22.83,1.07,108,39,85,11,4.18,4.25,4.32,2,0.2
85.3,42.6,33.91,22.83,1.04,108,39,85,11,5.22,5.27,5.32,3,0.68
85.3,42.6,33.91,22.83,1.02,108,39,85,11,5.4,5.42,5.44,2,0.0
85.3,42.6,33.91,22.83,1.2,108,39,85,11,6.13,6.4,6.66,3,0.39
85.3,42.6,33.91,22.83,1.07,108,39,85,11,4.37,4.44,4.52,3,3.32
85.3,42.6,33.91,22.83,1.15,108,39,85,11,5.15,5.32,5.49,4,0.68
