Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
75.45,64.9,61.75,17.53,1.28,108,42,94,11,5.1,5.42,5.74,0,0.0
75.45,64.9,61.75,17.53,1.08,108,42,94,11,4.08,4.15,4.22,1,9.96
75.45,64.9,61.75,17.53,1.25,108,42,94,11,5.79,6.1,6.42,1,0.0
75.45,64.9,61.75,17.53,1.08,108,42,94,11,6.96,7.08,7.2,2,1.86
75.45,64.9,61.75,17.53,1.02,108,42,94,11,14.82,14.89,14.97,1,1.17
75.45,64.9,61.75,17.53,1.11,108,42,94,11,17.87,18.26,18.65,2,74.61
75.45,64.9,61.75,17.53,1.05,108,42,94,11,3.86,3.91,3.96,2,0.88
75.45,64.9,61.75,17.53,1.36,108,42,94,11,2.44,2.64,2.83,3,2.64
75.45,64.9,61.75,17.53,1.04,108,42,94,11,9.77,9.86,9.96,1,2.05
75.45,64.9,61.75,17.53,1.05,108,42,94,11,4.35,4.4,4.44,2,0.0
75.45,64.9,61.75,17.53,1.26,108,42,94,11,4.57,4.83,5.1,2,0.2
75.45,64.9,61.75,17.53,1.23,108,42,94,11,5.86,6.15,6.44,3,0.88
75.45,64.9,61.75,17.53,1.29,108,42,94,11,2.61,2.78,2.95,2,0.0
75.45,64.9,61.75,17.53,1.03,108,42,94,11,3.74,3.76,3.78,3,0.49
75.45,64.9,61.75,17.53,1.09,108,42,94,11,2.2,2.25,2.3,3,4.59
75.45,64.9,61.75,17.53,1.6,108,42,94,11,3.12,3.52,3.91,4,0.68
