Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
83.98,36.99,41.12,27.5,1.07,108,33,106,11,2.98,3.03,3.08,0,0.0
83.98,36.99,41.12,27.5,1.03,108,33,106,11,2.95,2.98,3.0,1,7.03
83.98,36.99,41.12,27.5,1.18,108,33,106,11,2.95,3.08,3.2,1,0.0
83.98,36.99,41.12,27.5,1.0,108,33,106,11,6.64,6.64,6.64,2,1.37
83.98,36.99,41.12,27.5,1.27,108,33,106,11,5.3,5.62,5.93,1,1.37
83.98,36.99,41.12,27.5,1.1,108,33,106,11,17.63,17.97,18.31,2,76.56
83.98,36.99,41.12,27.5,1.32,108,33,106,11,5.25,5.62,5.98,2,0.68
83.98,36.99,41.12,27.5,1.17,108,33,106,11,3.66,3.81,3.96,3,3.52
83.98,36.99,41.12,27.5,1.12,108,33,106,11,10.94,11.23,11.52,1,3.91
83.98,36.99,41.12,27.5,1.1,108,33,106,11,4.2,4.3,4.4,2,0.29
83.98,36.99,41.12,27.5,1.29,108,33,106,11,2.61,2.78,2.95,2,0.2
83.98,36.99,41.12,27.5,1.2,108,33,106,11,5.32,5.57,5.81,3,0.68
83.98,36.99,41.12,27.5,1.01,108,33,106,11,9.2,9.23,9.25,2,0.0
83.98,36.99,41.12,27.5,1.1,108,33,106,11,6.4,6.54,6.69,3,0.39
83.98,36.99,41.12,27.5,1.13,108,33,106,11,6.93,7.13,7.32,3,3.32
83.98,36.99,41.12,27.5,1.59,108,33,106,11,4.0,4.49,4.98,4,0.68
