Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
87.29,28.54,60.03,67.33,1.0,108,33,100,9,7.52,7.52,7.52,0,0.0
87.29,28.54,60.03,67.33,1.15,108,33,100,9,5.15,5.32,5.49,1,9.96
87.29,28.54,60.03,67.33,1.12,108,33,100,9,5.13,5.27,5.42,1,0.0
87.29,28.54,60.03,67.33,1.18,108,33,100,9,5.4,5.62,5.84,2,1.37
87.29,28.54,60.03,67.33,1.29,108,33,100,9,6.98,7.42,7.86,1,0.59
87.29,28.54,60.03,67.33,1.04,108,33,100,9,5.71,5.76,5.81,2,75.49
87.29,28.54,60.03,67.33,1.27,108,33,100,9,4.47,4.74,5.0,2,0.88
87.29,28.54,60.03,67.33,1.12,108,33,100,9,4.32,4.44,4.57,3,2.64
87.29,28.54,60.03,67.33,1.1,108,33,100,9,7.89,8.06,8.23,1,2.64
87.29,28.54,60.03,67.33,1.47,108,33,100,9,6.27,6.88,7.5,2,0.0
87.29,28.54,60.03,67.33,1.31,108,33,100,9,5.03,5.37,5.71,2,0.2
87.29,28.54,60.03,67.33,1.16,108,33,100,9,6.08,6.3,6.52,3,0.39
87.29,28.54,60.03,67.33,1.01,108,33,100,9,8.03,8.06,8.08,2,0.0
87.29,28.54,60.03,67.33,1.14,108,33,100,9,6.25,6.44,6.64,3,0.59
87.29,28.54,60.03,67.33,1.46,108,33,100,9,6.37,6.98,7.59,3,4.59
87.29,28.54,60.03,67.33,1.41,108,33,100,9,5.35,5.81,6.27,4,0.68
