Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
83.78,30.35,26.52,23.17,1.16,108,36,88,11,7.5,7.76,8.03,0,0.0
83.78,30.35,26.52,23.17,1.12,108,36,88,11,9.03,9.28,9.52,1,7.03
83.78,30.35,26.52,23.17,1.33,108,36,88,11,4.0,4.3,4.59,1,0.0
83.78,30.35,26.52,23.17,1.29,108,36,88,11,5.0,5.32,5.64,2,1.37
83.78,30.35,26.52,23.17,1.06,108,36,88,11,5.05,5.13,5.2,1,1.27
83.78,30.35,26.52,23.17,1.16,108,36,88,11,14.23,14.7,15.16,2,78.12
83.78,30.35,26.52,23.17,1.11,108,36,88,11,6.81,6.98,7.15,2,0.78
83.78,30.35,26.52,23.17,1.02,108,36,88,11,4.81,4.83,4.86,3,3.61
83.78,30.35,26.52,23.17,1.06,108,36,88,11,3.47,3.52,3.56,1,2.64
83.78,30.35,26.52,23.17,1.12,108,36,88,11,5.32,5.47,5.62,2,0.1
83.78,30.35,26.52,23.17,1.35,108,36,88,11,4.86,5.22,5.59,2,0.0
83.78,30.35,26.52,23.17,1.14,108,36,88,11,6.35,6.54,6.74,3,0.68
83.78,30.35,26.52,23.17,1.15,108,36,88,11,6.76,6.98,7.2,2,0.0
83.78,30.35,26.52,23.17,1.03,108,36,88,11,6.4,6.44,6.49,3,0.39
83.78,30.35,26.52,23.17,1.08,108,36,88,11,3.88,3.96,4.03,3,3.32
83.78,30.35,26.52,23.17,1.29,108,36,88,11,3.34,3.56,3.78,4,0.68
