Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
69.21,12.55,25.72,25.31,1.34,108,30,97,9,4.96,5.32,5.69,0,0.0
69.21,12.55,25.72,25.31,1.04,108,30,97,9,8.76,8.84,8.91,1,9.96
69.21,12.55,25.72,25.31,1.14,108,30,97,9,4.44,4.59,4.74,1,0.0
69.21,12.55,25.72,25.31,1.05,108,30,97,9,3.86,3.91,3.96,2,1.86
69.21,12.55,25.72,25.31,1.13,108,30,97,9,8.25,8.5,8.74,1,1.17
69.21,12.55,25.72,25.31,1.12,108,30,97,9,29.81,30.42,31.03,2,74.61
69.21,12.55,25.72,25.31,1.19,108,30,97,9,5.2,5.42,5.64,2,0.88
69.21,12.55,25.72,25.31,1.0,108,30,97,9,4.78,4.78,4.78,3,2.64
69.21,12.55,25.72,25.31,1.07,108,30,97,9,2.98,3.03,3.08,1,2.05
69.21,12.55,25.72,25.31,1.41,108,30,97,9,2.69,2.93,3.17,2,0.0
69.21,12.55,25.72,25.31,1.62,108,30,97,9,3.59,4.05,4.52,2,0.2
69.21,12.55,25.72,25.31,1.45,108,30,97,9,3.03,3.32,3.61,3,0.88
69.21,12.55,25.72,25.31,1.52,108,30,97,9,2.42,2.69,2.95,2,0.0
69.21,12.55,25.72,25.31,1.25,108,30,97,9,3.42,3.61,3.81,3,0.49
69.21,12.55,25.72,25.31,1.0,108,30,97,9,5.57,5.57,5.57,3,4.59
69.21,12.55,25.72,25.31,1.14,108,30,97,9,2.93,3.03,3.12,4,0.68
