Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
81.19,33.5,21.44,28.07,1.13,108,45,86,9,5.74,5.91,6.08,0,0.0
81.19,33.5,21.44,28.07,1.03,108,45,86,9,6.49,6.54,6.59,1,9.96
81.19,33.5,21.44,28.07,1.39,108,45,86,9,4.05,4.4,4.74,1,0.0
81.19,33.5,21.44,28.07,1.23,108,45,86,9,5.86,6.15,6.44,2,1.37
81.19,33.5,21.44,28.07,1.04,108,45,86,9,8.47,8.54,8.62,1,0.59
81.19,33.5,21.44,28.07,1.21,108,45,86,9,14.77,15.38,15.99,2,75.49
81.19,33.5,21.44,28.07,1.37,108,45,86,9,4.88,5.27,5.66,2,0.88
81.19,33.5,21.44,28.07,1.27,108,45,86,9,4.88,5.18,5.47,3,2.64
81.19,33.5,21.44,28.07,1.03,108,45,86,9,6.2,6.25,6.3,1,2.64
81.19,33.5,21.44,28.07,1.38,108,45,86,9,5.1,5.52,5.93,2,0.0
81.19,33.5,21.44,28.07,1.07,108,45,86,9,4.57,4.64,4.71,2,0.2
81.19,33.5,21.44,28.07,1.15,108,45,86,9,5.57,5.76,5.96,3,0.39
81.19,33.5,21.44,28.07,1.11,108,45,86,9,3.81,3.91,4.0,2,0.0
81.19,33.5,21.44,28.07,1.15,108,45,86,9,5.15,5.32,5.49,3,0.59
81.19,33.5,21.44,28.07,1.59,108,45,86,9,5.66,6.35,7.03,3,4.59
81.19,33.5,21.44,28.07,1.23,108,45,86,9,4.64,4.88,5.13,4,0.68
