Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
69.21,24.15,32.09,28.91,1.25,108,30,106,9,2.59,2.73,2.88,0,0.0
69.21,24.15,32.09,28.91,1.38,108,30,106,9,4.78,5.18,5.57,1,9.96
69.21,24.15,32.09,28.91,1.05,108,30,106,9,4.44,4.49,4.54,1,0.0
69.21,24.15,32.09,28.91,1.04,108,30,106,9,5.42,5.47,5.52,2,1.86
69.21,24.15,32.09,28.91,1.25,108,30,106,9,4.86,5.13,5.4,1,1.17
69.21,24.15,32.09,28.91,1.05,108,30,106,9,26.9,27.15,27.39,2,74.61
69.21,24.15,32.09,28.91,1.07,108,30,106,9,6.54,6.64,6.74,2,0.88
69.21,24.15,32.09,28.91,1.03,108,30,106,9,6.2,6.25,6.3,3,2.64
69.21,24.15,32.09,28.91,1.11,108,30,106,9,4.81,4.93,5.05,1,2.05
69.21,24.15,32.09,28.91,1.06,108,30,106,9,3.37,3.42,3.47,2,0.0
69.21,24.15,32.09,28.91,1.25,108,30,106,9,3.52,3.71,3.91,2,0.2
69.21,24.15,32.09,28.91,1.32,108,30,106,9,3.47,3.71,3.96,3,0.88
69.21,24.15,32.09,28.91,1.08,108,30,106,9,2.49,2.54,2.59,2,0.0
69.21,24.15,32.09,28.91,1.25,108,30,106,9,5.27,5.57,5.86,3,0.49
69.21,24.15,32.09,28.91,1.16,108,30,106,9,9.11,9.42,9.74,3,4.59
69.21,24.15,32.09,28.91,1.09,108,30,106,9,3.59,3.66,3.74,4,0.68
