Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
90.73,19.58,53.35,40.69,1.17,176,115,217,12,3.05,3.17,3.3,0,0.2
90.73,19.58,53.35,40.69,1.11,176,115,217,12,3.91,4.0,4.1,1,40.04
90.73,19.58,53.35,40.69,1.15,176,115,217,12,1.42,1.46,1.51,1,0.0
90.73,19.58,53.35,40.69,1.04,176,115,217,12,2.66,2.69,2.71,2,0.0
90.73,19.58,53.35,40.69,1.72,176,115,217,12,4.22,4.83,5.44,2,0.0
90.73,19.58,53.35,40.69,1.43,176,115,217,12,0.76,0.83,0.9,3,0.0
90.73,19.58,53.35,40.69,2.14,176,115,217,12,1.0,1.22,1.44,2,0.0
90.73,19.58,53.35,40.69,1.32,176,115,217,12,2.0,2.15,2.3,3,0.0
90.73,19.58,53.35,40.69,1.19,176,115,217,12,5.1,5.32,5.54,3,0.0
90.73,19.58,53.35,40.69,1.23,176,115,217,12,1.34,1.42,1.49,4,0.0
90.73,19.58,53.35,40.69,1.55,176,115,217,12,1.44,1.61,1.78,2,0.0
90.73,19.58,53.35,40.69,1.6,176,115,217,12,1.9,2.15,2.39,3,0.0
90.73,19.58,53.35,40.69,1.09,176,115,217,12,3.3,3.37,3.44,3,0.0
90.73,19.58,53.35,40.69,1.25,176,115,217,12,1.24,1.32,1.39,4,0.0
90.73,19.58,53.35,40.69,1.1,176,115,217,12,3.0,3.08,3.15,3,0.0
90.73,19.58,53.35,40.69,1.31,176,115,217,12,3.56,3.81,4.05,4,0.0
90.73,19.58,53.35,40.69,1.17,176,115,217,12,3.66,3.81,3.96,4,0.0
90.73,19.58,53.35,40.69,2.82,176,115,217,12,0.71,0.93,1.15,5,0.0
90.73,19.58,53.35,40.69,1.39,176,115,217,12,4.05,4.4,4.74,1,22.66
90.73,19.58,53.35,40.69,1.71,176,115,217,12,1.49,1.71,1.93,2,0.88
90.73,19.58,53.35,40.69,1.16,176,115,217,12,4.05,4.2,4.35,1,0.0
90.73,19.58,53.35,40.69,1.04,176,115,217,12,7.5,7.57,7.64,2,15.14
90.73,19.58,53.35,40.69,1.0,176,115,217,12,8.89,8.89,8.89,2,19.82
90.73,19.58,53.35,40.69,1.2,176,115,217,12,1.54,1.61,1.68,3,1.27
90.73,19.58,53.35,40.69,1.93,176,115,217,12,2.27,2.69,3.1,1,0.0
90.73,19.58,53.35,40.69,1.03,176,115,217,12,3.34,3.37,3.39,2,0.0
90.73,19.58,53.35,40.69,1.06,176,115,217,12,3.17,3.22,3.27,2,0.0
90.73,19.58,53.35,40.69,1.47,176,115,217,12,1.42,1.56,1.71,3,0.0
90.73,19.58,53.35,40.69,1.28,176,115,217,12,1.88,2.0,2.12,2,0.0
90.73,19.58,53.35,40.69,1.09,176,115,217,12,3.3,3.37,3.44,3,0.0
90.73,19.58,53.35,40.69,1.05,176,115,217,12,6.23,6.3,6.37,3,0.0
90.73,19.58,53.35,40.69,1.36,176,115,217,12,1.81,1.95,2.1,4,0.0
