Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
88.01,17.68,62.71,60.41,1.02,176,112,217,12,4.22,4.25,4.27,0,0.2
88.01,17.68,62.71,60.41,1.02,176,112,217,12,12.06,12.11,12.16,1,37.21
88.01,17.68,62.71,60.41,1.36,176,112,217,12,1.81,1.95,2.1,1,0.0
88.01,17.68,62.71,60.41,1.04,176,112,217,12,2.27,2.3,2.32,2,0.0
88.01,17.68,62.71,60.41,1.16,176,112,217,12,5.37,5.57,5.76,2,0.0
88.01,17.68,62.71,60.41,1.55,176,112,217,12,1.44,1.61,1.78,3,0.0
88.01,17.68,62.71,60.41,1.39,176,112,217,12,1.39,1.51,1.64,2,0.0
88.01,17.68,62.71,60.41,1.55,176,112,217,12,1.44,1.61,1.78,3,0.0
88.01,17.68,62.71,60.41,1.33,176,112,217,12,3.69,3.96,4.22,3,0.0
88.01,17.68,62.71,60.41,1.38,176,112,217,12,0.85,0.93,1.0,4,0.0
88.01,17.68,62.71,60.41,1.04,176,112,217,12,2.76,2.78,2.81,2,0.0
88.01,17.68,62.71,60.41,1.15,176,112,217,12,4.25,4.4,4.54,3,0.0
88.01,17.68,62.71,60.41,1.04,176,112,217,12,5.03,5.08,5.13,3,0.0
88.01,17.68,62.71,60.41,1.46,176,112,217,12,2.71,2.98,3.25,4,0.0
88.01,17.68,62.71,60.41,1.0,176,112,217,12,1.66,1.66,1.66,3,0.0
88.01,17.68,62.71,60.41,1.24,176,112,217,12,1.76,1.86,1.95,4,0.0
88.01,17.68,62.71,60.41,1.1,176,112,217,12,2.0,2.05,2.1,4,0.0
88.01,17.68,62.71,60.41,1.0,176,112,217,12,1.46,1.46,1.46,5,0.0
88.01,17.68,62.71,60.41,1.38,176,112,217,12,5.42,5.86,6.3,1,25.49
88.01,17.68,62.71,60.41,1.0,176,112,217,12,2.34,2.34,2.34,2,0.88
88.01,17.68,62.71,60.41,1.28,176,112,217,12,2.71,2.88,3.05,1,0.0
88.01,17.68,62.71,60.41,1.29,176,112,217,12,4.59,4.88,5.18,2,16.6
88.01,17.68,62.71,60.41,1.43,176,112,217,12,4.52,4.93,5.35,2,18.36
88.01,17.68,62.71,60.41,1.25,176,112,217,12,0.83,0.88,0.93,3,1.27
88.01,17.68,62.71,60.41,1.1,176,112,217,12,3.1,3.17,3.25,1,0.0
88.01,17.68,62.71,60.41,1.63,176,112,217,12,3.37,3.81,4.25,2,0.0
88.01,17.68,62.71,60.41,1.03,176,112,217,12,4.03,4.05,4.08,2,0.0
88.01,17.68,62.71,60.41,1.06,176,112,217,12,1.78,1.81,1.83,3,0.0
88.01,17.68,62.71,60.41,1.38,176,112,217,12,1.71,1.86,2.0,2,0.0
88.01,17.68,62.71,60.41,2.2,176,112,217,12,1.51,1.86,2.2,3,0.0
88.01,17.68,62.71,60.41,1.49,176,112,217,12,2.3,2.54,2.78,3,0.0
88.01,17.68,62.71,60.41,1.2,176,112,217,12,1.03,1.07,1.12,4,0.0
