Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
88.9,30.53,64.06,60.09,1.36,176,121,229,12,4.98,5.37,5.76,0,0.2
88.9,30.53,64.06,60.09,1.21,176,121,229,12,8.18,8.54,8.91,1,37.21
88.9,30.53,64.06,60.09,3.04,176,121,229,12,1.03,1.37,1.71,1,0.0
88.9,30.53,64.06,60.09,1.28,176,121,229,12,1.88,2.0,2.12,2,0.0
88.9,30.53,64.06,60.09,1.27,176,121,229,12,2.39,2.54,2.69,2,0.0
88.9,30.53,64.06,60.09,2.01,176,121,229,12,0.73,0.88,1.03,3,0.0
88.9,30.53,64.06,60.09,2.48,176,121,229,12,1.2,1.51,1.83,2,0.0
88.9,30.53,64.06,60.09,1.2,176,121,229,12,1.54,1.61,1.68,3,0.0
88.9,30.53,64.06,60.09,1.43,176,121,229,12,2.05,2.25,2.44,3,0.0
88.9,30.53,64.06,60.09,1.58,176,121,229,12,0.78,0.88,0.98,4,0.0
88.9,30.53,64.06,60.09,1.05,176,121,229,12,1.98,2.0,2.03,2,0.0
88.9,30.53,64.06,60.09,1.13,176,121,229,12,2.32,2.39,2.47,3,0.0
88.9,30.53,64.06,60.09,1.14,176,121,229,12,3.03,3.12,3.22,3,0.0
88.9,30.53,64.06,60.09,1.18,176,121,229,12,1.12,1.17,1.22,4,0.0
88.9,30.53,64.06,60.09,1.89,176,121,229,12,0.95,1.12,1.29,3,0.0
88.9,30.53,64.06,60.09,1.51,176,121,229,12,1.32,1.46,1.61,4,0.0
88.9,30.53,64.06,60.09,1.32,176,121,229,12,2.0,2.15,2.3,4,0.0
88.9,30.53,64.06,60.09,1.0,176,121,229,12,1.46,1.46,1.46,5,0.0
88.9,30.53,64.06,60.09,1.01,176,121,229,12,8.03,8.06,8.08,1,25.49
88.9,30.53,64.06,60.09,1.15,176,121,229,12,2.12,2.2,2.27,2,0.88
88.9,30.53,64.06,60.09,1.24,176,121,229,12,4.03,4.25,4.47,1,0.0
88.9,30.53,64.06,60.09,1.2,176,121,229,12,4.4,4.59,4.78,2,16.6
88.9,30.53,64.06,60.09,1.15,176,121,229,12,7.37,7.62,7.86,2,18.36
88.9,30.53,64.06,60.09,1.2,176,121,229,12,2.05,2.15,2.25,3,1.27
88.9,30.53,64.06,60.09,1.06,176,121,229,12,3.17,3.22,3.27,1,0.0
88.9,30.53,64.06,60.09,1.11,176,121,229,12,3.91,4.0,4.1,2,0.0
88.9,30.53,64.06,60.09,1.41,176,121,229,12,5.03,5.47,5.91,2,0.0
88.9,30.53,64.06,60.09,1.04,176,121,229,12,2.37,2.39,2.42,3,0.0
88.9,30.53,64.06,60.09,1.18,176,121,229,12,3.56,3.71,3.86,2,0.0
88.9,30.53,64.06,60.09,1.3,176,121,229,12,3.25,3.47,3.69,3,0.0
88.9,30.53,64.06,60.09,1.21,176,121,229,12,4.71,4.93,5.15,3,0.0
88.9,30.53,64.06,60.09,1.15,176,121,229,12,2.03,2.1,2.17,4,0.0
