Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
90.14,27.59,81.81,72.74,1.36,176,103,214,10,3.71,4.0,4.3,0,0.2
90.14,27.59,81.81,72.74,1.46,176,103,214,10,2.17,2.39,2.61,1,40.92
90.14,27.59,81.81,72.74,1.14,176,103,214,10,5.35,5.52,5.69,1,0.0
90.14,27.59,81.81,72.74,1.0,176,103,214,10,3.42,3.42,3.42,2,0.0
90.14,27.59,81.81,72.74,1.18,176,103,214,10,4.78,4.98,5.18,2,0.0
90.14,27.59,81.81,72.74,1.15,176,103,214,10,2.83,2.93,3.03,3,0.0
90.14,27.59,81.81,72.74,1.53,176,103,214,10,4.61,5.13,5.64,2,0.0
90.14,27.59,81.81,72.74,1.0,176,103,214,10,2.83,2.83,2.83,3,0.0
90.14,27.59,81.81,72.74,1.0,176,103,214,10,3.32,3.32,3.32,3,0.0
90.14,27.59,81.81,72.74,1.51,176,103,214,10,1.98,2.2,2.42,4,0.0
90.14,27.59,81.81,72.74,1.24,176,103,214,10,5.98,6.3,6.62,2,0.0
90.14,27.59,81.81,72.74,1.41,176,103,214,10,2.69,2.93,3.17,3,0.0
90.14,27.59,81.81,72.74,1.1,176,103,214,10,5.49,5.62,5.74,3,0.0
90.14,27.59,81.81,72.74,1.45,176,103,214,10,3.03,3.32,3.61,4,0.0
90.14,27.59,81.81,72.74,1.2,176,103,214,10,3.17,3.32,3.47,3,0.0
90.14,27.59,81.81,72.74,1.34,176,103,214,10,1.9,2.05,2.2,4,0.0
90.14,27.59,81.81,72.74,1.05,176,103,214,10,3.86,3.91,3.96,4,0.0
90.14,27.59,81.81,72.74,1.3,176,103,214,10,1.78,1.9,2.03,5,0.0
90.14,27.59,81.81,72.74,1.46,176,103,214,10,2.93,3.22,3.52,1,22.75
90.14,27.59,81.81,72.74,1.0,176,103,214,10,1.66,1.66,1.66,2,0.29
90.14,27.59,81.81,72.74,1.31,176,103,214,10,3.15,3.37,3.59,1,0.0
90.14,27.59,81.81,72.74,1.45,176,103,214,10,1.73,1.9,2.08,2,15.14
90.14,27.59,81.81,72.74,1.18,176,103,214,10,2.34,2.44,2.54,2,19.43
90.14,27.59,81.81,72.74,1.25,176,103,214,10,1.24,1.32,1.39,3,1.27
90.14,27.59,81.81,72.74,1.23,176,103,214,10,4.83,5.08,5.32,1,0.0
90.14,27.59,81.81,72.74,1.24,176,103,214,10,1.76,1.86,1.95,2,0.0
90.14,27.59,81.81,72.74,2.19,176,103,214,10,2.76,3.37,3.98,2,0.0
90.14,27.59,81.81,72.74,1.26,176,103,214,10,2.08,2.2,2.32,3,0.0
90.14,27.59,81.81,72.74,1.21,176,103,214,10,2.98,3.12,3.27,2,0.0
90.14,27.59,81.81,72.74,1.51,176,103,214,10,1.1,1.22,1.34,3,0.0
90.14,27.59,81.81,72.74,1.19,176,103,214,10,2.25,2.34,2.44,3,0.0
90.14,27.59,81.81,72.74,1.13,176,103,214,10,0.81,0.83,0.85,4,0.0
