Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
86.05,20.47,45.97,40.18,1.27,176,94,216,12,3.64,3.86,4.08,0,0.2
86.05,20.47,45.97,40.18,1.01,176,94,216,12,11.26,11.28,11.3,1,37.21
86.05,20.47,45.97,40.18,1.0,176,94,216,12,0.68,0.68,0.68,1,0.0
86.05,20.47,45.97,40.18,1.07,176,94,216,12,1.49,1.51,1.54,2,0.0
86.05,20.47,45.97,40.18,1.22,176,94,216,12,1.95,2.05,2.15,2,0.0
86.05,20.47,45.97,40.18,1.22,176,94,216,12,0.93,0.98,1.03,3,0.0
86.05,20.47,45.97,40.18,1.68,176,94,216,12,1.03,1.17,1.32,2,0.0
86.05,20.47,45.97,40.18,1.08,176,94,216,12,1.2,1.22,1.24,3,0.0
86.05,20.47,45.97,40.18,1.1,176,94,216,12,2.0,2.05,2.1,3,0.0
86.05,20.47,45.97,40.18,1.06,176,94,216,12,1.59,1.61,1.64,4,0.0
86.05,20.47,45.97,40.18,1.07,176,94,216,12,1.49,1.51,1.54,2,0.0
86.05,20.47,45.97,40.18,1.37,176,94,216,12,2.34,2.54,2.73,3,0.0
86.05,20.47,45.97,40.18,1.22,176,94,216,12,1.44,1.51,1.59,3,0.0
86.05,20.47,45.97,40.18,1.36,176,94,216,12,1.49,1.61,1.73,4,0.0
86.05,20.47,45.97,40.18,1.87,176,94,216,12,0.83,0.98,1.12,3,0.0
86.05,20.47,45.97,40.18,1.43,176,94,216,12,2.05,2.25,2.44,4,0.0
86.05,20.47,45.97,40.18,1.07,176,94,216,12,1.39,1.42,1.44,4,0.0
86.05,20.47,45.97,40.18,1.17,176,94,216,12,1.22,1.27,1.32,5,0.0
86.05,20.47,45.97,40.18,1.56,176,94,216,12,5.52,6.15,6.79,1,25.49
86.05,20.47,45.97,40.18,1.03,176,94,216,12,3.54,3.56,3.59,2,0.88
86.05,20.47,45.97,40.18,1.06,176,94,216,12,3.17,3.22,3.27,1,0.0
86.05,20.47,45.97,40.18,1.09,176,94,216,12,7.18,7.32,7.47,2,16.6
86.05,20.47,45.97,40.18,1.06,176,94,216,12,6.93,7.03,7.13,2,18.36
86.05,20.47,45.97,40.18,1.17,176,94,216,12,3.66,3.81,3.96,3,1.27
86.05,20.47,45.97,40.18,1.56,176,94,216,12,2.44,2.73,3.03,1,0.0
86.05,20.47,45.97,40.18,1.33,176,94,216,12,2.95,3.17,3.39,2,0.0
86.05,20.47,45.97,40.18,1.1,176,94,216,12,5.2,5.32,5.44,2,0.0
86.05,20.47,45.97,40.18,1.05,176,94,216,12,4.44,4.49,4.54,3,0.0
86.05,20.47,45.97,40.18,1.46,176,94,216,12,2.17,2.39,2.61,2,0.0
86.05,20.47,45.97,40.18,1.03,176,94,216,12,3.15,3.17,3.2,3,0.0
86.05,20.47,45.97,40.18,1.09,176,94,216,12,4.59,4.69,4.78,3,0.0
86.05,20.47,45.97,40.18,1.27,176,94,216,12,3.22,3.42,3.61,4,0.0
