Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
91.52,15.56,51.62,54.18,1.17,176,103,209,10,2.44,2.54,2.64,0,0.2
91.52,15.56,51.62,54.18,1.56,176,103,209,10,2.44,2.73,3.03,1,37.3
91.52,15.56,51.62,54.18,1.18,176,103,209,10,2.95,3.08,3.2,1,0.0
91.52,15.56,51.62,54.18,1.03,176,103,209,10,3.05,3.08,3.1,2,0.0
91.52,15.56,51.62,54.18,1.24,176,103,209,10,5.57,5.86,6.15,2,0.0
91.52,15.56,51.62,54.18,1.31,176,103,209,10,2.1,2.25,2.39,3,0.0
91.52,15.56,51.62,54.18,1.29,176,103,209,10,2.61,2.78,2.95,2,0.0
91.52,15.56,51.62,54.18,1.17,176,103,209,10,1.83,1.9,1.98,3,0.0
91.52,15.56,51.62,54.18,1.08,176,103,209,10,5.37,5.47,5.57,3,0.0
91.52,15.56,51.62,54.18,1.0,176,103,209,10,3.03,3.03,3.03,4,0.0
91.52,15.56,51.62,54.18,1.08,176,103,209,10,3.98,4.05,4.13,2,0.0
91.52,15.56,51.62,54.18,1.0,176,103,209,10,4.78,4.78,4.78,3,0.0
91.52,15.56,51.62,54.18,1.09,176,103,209,10,6.08,6.2,6.32,3,0.0
91.52,15.56,51.62,54.18,1.6,176,103,209,10,2.9,3.27,3.64,4,0.0
91.52,15.56,51.62,54.18,1.06,176,103,209,10,3.56,3.61,3.66,3,0.0
91.52,15.56,51.62,54.18,1.19,176,103,209,10,2.76,2.88,3.0,4,0.0
91.52,15.56,51.62,54.18,1.02,176,103,209,10,4.42,4.44,4.47,4,0.0
91.52,15.56,51.62,54.18,1.49,176,103,209,10,2.3,2.54,2.78,5,0.0
91.52,15.56,51.62,54.18,1.02,176,103,209,10,4.42,4.44,4.47,1,22.66
91.52,15.56,51.62,54.18,1.0,176,103,209,10,1.76,1.76,1.76,2,0.29
91.52,15.56,51.62,54.18,1.17,176,103,209,10,1.83,1.9,1.98,1,0.0
91.52,15.56,51.62,54.18,1.68,176,103,209,10,1.37,1.56,1.76,2,19.63
91.52,15.56,51.62,54.18,1.17,176,103,209,10,3.66,3.81,3.96,2,18.65
91.52,15.56,51.62,54.18,1.18,176,103,209,10,1.73,1.81,1.88,3,1.27
91.52,15.56,51.62,54.18,1.11,176,103,209,10,2.81,2.88,2.95,1,0.0
91.52,15.56,51.62,54.18,1.23,176,103,209,10,1.34,1.42,1.49,2,0.0
91.52,15.56,51.62,54.18,1.15,176,103,209,10,4.25,4.4,4.54,2,0.0
91.52,15.56,51.62,54.18,1.59,176,103,209,10,2.56,2.88,3.2,3,0.0
91.52,15.56,51.62,54.18,1.27,176,103,209,10,1.56,1.66,1.76,2,0.0
91.52,15.56,51.62,54.18,1.36,176,103,209,10,1.81,1.95,2.1,3,0.0
91.52,15.56,51.62,54.18,1.1,176,103,209,10,3.0,3.08,3.15,3,0.0
91.52,15.56,51.62,54.18,1.51,176,103,209,10,1.76,1.95,2.15,4,0.0
