Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
88.39,18.92,46.5,44.61,1.02,176,127,221,10,6.96,6.98,7.01,0,0.2
88.39,18.92,46.5,44.61,1.03,176,127,221,10,6.49,6.54,6.59,1,40.92
88.39,18.92,46.5,44.61,1.48,176,127,221,10,1.86,2.05,2.25,1,0.0
88.39,18.92,46.5,44.61,1.0,176,127,221,10,1.46,1.46,1.46,2,0.0
88.39,18.92,46.5,44.61,1.21,176,127,221,10,2.98,3.12,3.27,2,0.0
88.39,18.92,46.5,44.61,1.22,176,127,221,10,0.93,0.98,1.03,3,0.0
88.39,18.92,46.5,44.61,1.34,176,127,221,10,1.9,2.05,2.2,2,0.0
88.39,18.92,46.5,44.61,1.46,176,127,221,10,1.2,1.32,1.44,3,0.0
88.39,18.92,46.5,44.61,1.14,176,127,221,10,3.74,3.86,3.98,3,0.0
88.39,18.92,46.5,44.61,1.22,176,127,221,10,0.93,0.98,1.03,4,0.0
88.39,18.92,46.5,44.61,1.14,176,127,221,10,3.03,3.12,3.22,2,0.0
88.39,18.92,46.5,44.61,1.0,176,127,221,10,2.93,2.93,2.93,3,0.0
88.39,18.92,46.5,44.61,1.04,176,127,221,10,2.27,2.3,2.32,3,0.0
88.39,18.92,46.5,44.61,1.9,176,127,221,10,1.07,1.27,1.46,4,0.0
88.39,18.92,46.5,44.61,1.27,176,127,221,10,2.81,2.98,3.15,3,0.0
88.39,18.92,46.5,44.61,1.52,176,127,221,10,2.2,2.44,2.69,4,0.0
88.39,18.92,46.5,44.61,1.09,176,127,221,10,2.3,2.34,2.39,4,0.0
88.39,18.92,46.5,44.61,1.45,176,127,221,10,0.98,1.07,1.17,5,0.0
88.39,18.92,46.5,44.61,1.04,176,127,221,10,5.03,5.08,5.13,1,22.75
88.39,18.92,46.5,44.61,1.25,176,127,221,10,1.24,1.32,1.39,2,0.29
88.39,18.92,46.5,44.61,1.19,176,127,221,10,5.62,5.86,6.1,1,0.0
88.39,18.92,46.5,44.61,1.45,176,127,221,10,6.57,7.18,7.79,2,15.14
88.39,18.92,46.5,44.61,1.19,176,127,221,10,6.84,7.13,7.42,2,19.43
88.39,18.92,46.5,44.61,1.28,176,127,221,10,1.15,1.22,1.29,3,1.27
88.39,18.92,46.5,44.61,1.24,176,127,221,10,3.61,3.81,4.0,1,0.0
88.39,18.92,46.5,44.61,1.2,176,127,221,10,2.15,2.25,2.34,2,0.0
88.39,18.92,46.5,44.61,1.16,176,127,221,10,4.66,4.83,5.0,2,0.0
88.39,18.92,46.5,44.61,1.18,176,127,221,10,1.73,1.81,1.88,3,0.0
88.39,18.92,46.5,44.61,1.05,176,127,221,10,3.86,3.91,3.96,2,0.0
88.39,18.92,46.5,44.61,1.52,176,127,221,10,2.42,2.69,2.95,3,0.0
88.39,18.92,46.5,44.61,1.08,176,127,221,10,3.88,3.96,4.03,3,0.0
88.39,18.92,46.5,44.61,1.41,176,127,221,10,1.07,1.17,1.27,4,0.0
