Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
90.58,31.57,51.23,58.76,1.27,176,112,220,10,4.05,4.3,4.54,0,0.2
90.58,31.57,51.23,58.76,1.24,176,112,220,10,4.13,4.35,4.57,1,40.92
90.58,31.57,51.23,58.76,1.36,176,112,220,10,3.39,3.66,3.93,1,0.0
90.58,31.57,51.23,58.76,1.25,176,112,220,10,3.83,4.05,4.27,2,0.0
90.58,31.57,51.23,58.76,1.28,176,112,220,10,4.27,4.54,4.81,2,0.0
90.58,31.57,51.23,58.76,1.36,176,112,220,10,2.44,2.64,2.83,3,0.0
90.58,31.57,51.23,58.76,1.06,176,112,220,10,3.47,3.52,3.56,2,0.0
90.58,31.57,51.23,58.76,1.35,176,112,220,10,2.86,3.08,3.3,3,0.0
90.58,31.57,51.23,58.76,1.02,176,112,220,10,4.42,4.44,4.47,3,0.0
90.58,31.57,51.23,58.76,1.32,176,112,220,10,2.0,2.15,2.3,4,0.0
90.58,31.57,51.23,58.76,1.05,176,112,220,10,4.15,4.2,4.25,2,0.0
90.58,31.57,51.23,58.76,1.02,176,112,220,10,4.71,4.74,4.76,3,0.0
90.58,31.57,51.23,58.76,1.02,176,112,220,10,4.91,4.93,4.96,3,0.0
90.58,31.57,51.23,58.76,1.4,176,112,220,10,2.47,2.69,2.9,4,0.0
90.58,31.57,51.23,58.76,1.72,176,112,220,10,2.64,3.03,3.42,3,0.0
90.58,31.57,51.23,58.76,1.52,176,112,220,10,2.64,2.93,3.22,4,0.0
90.58,31.57,51.23,58.76,1.21,176,112,220,10,3.49,3.66,3.83,4,0.0
90.58,31.57,51.23,58.76,1.44,176,112,220,10,2.27,2.49,2.71,5,0.0
90.58,31.57,51.23,58.76,1.18,176,112,220,10,2.86,2.98,3.1,1,22.75
90.58,31.57,51.23,58.76,1.3,176,112,220,10,1.78,1.9,2.03,2,0.29
90.58,31.57,51.23,58.76,1.08,176,112,220,10,2.49,2.54,2.59,1,0.0
90.58,31.57,51.23,58.76,2.2,176,112,220,10,2.51,3.08,3.64,2,15.14
90.58,31.57,51.23,58.76,1.14,176,112,220,10,3.03,3.12,3.22,2,19.43
90.58,31.57,51.23,58.76,1.61,176,112,220,10,1.68,1.9,2.12,3,1.27
90.58,31.57,51.23,58.76,1.1,176,112,220,10,3.1,3.17,3.25,1,0.0
90.58,31.57,51.23,58.76,1.42,176,112,220,10,1.83,2.0,2.17,2,0.0
90.58,31.57,51.23,58.76,1.08,176,112,220,10,3.69,3.76,3.83,2,0.0
90.58,31.57,51.23,58.76,1.54,176,112,220,10,2.1,2.34,2.59,3,0.0
90.58,31.57,51.23,58.76,1.09,176,112,220,10,2.39,2.44,2.49,2,0.0
90.58,31.57,51.23,58.76,1.07,176,112,220,10,1.39,1.42,1.44,3,0.0
90.58,31.57,51.23,58.76,1.18,176,112,220,10,1.73,1.81,1.88,3,0.0
90.58,31.57,51.23,58.76,1.46,176,112,220,10,1.95,2.15,2.34,4,0.0
