Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
90.14,59.01,41.05,40.98,1.09,176,106,216,12,4.49,4.59,4.69,0,0.0
90.14,59.01,41.05,40.98,1.07,176,106,216,12,7.84,7.96,8.08,1,28.61
90.14,59.01,41.05,40.98,1.06,176,106,216,12,1.78,1.81,1.83,1,0.0
90.14,59.01,41.05,40.98,1.18,176,106,216,12,2.86,2.98,3.1,2,0.0
90.14,59.01,41.05,40.98,1.04,176,106,216,12,2.27,2.3,2.32,2,0.0
90.14,59.01,41.05,40.98,1.29,176,106,216,12,0.73,0.78,0.83,3,0.0
90.14,59.01,41.05,40.98,1.46,176,106,216,12,1.2,1.32,1.44,2,0.0
90.14,59.01,41.05,40.98,1.1,176,106,216,12,2.1,2.15,2.2,3,0.0
90.14,59.01,41.05,40.98,1.25,176,106,216,12,3.0,3.17,3.34,3,0.0
90.14,59.01,41.05,40.98,1.16,176,106,216,12,1.32,1.37,1.42,4,0.0
90.14,59.01,41.05,40.98,1.04,176,106,216,12,2.37,2.39,2.42,2,0.0
90.14,59.01,41.05,40.98,1.4,176,106,216,12,1.93,2.1,2.27,3,0.0
90.14,59.01,41.05,40.98,1.08,176,106,216,12,2.59,2.64,2.69,3,0.0
90.14,59.01,41.05,40.98,1.34,176,106,216,12,0.95,1.03,1.1,4,0.0
90.14,59.01,41.05,40.98,2.27,176,106,216,12,1.03,1.27,1.51,3,0.0
90.14,59.01,41.05,40.98,1.38,176,106,216,12,1.71,1.86,2.0,4,0.0
90.14,59.01,41.05,40.98,1.54,176,106,216,12,2.1,2.34,2.59,4,0.0
90.14,59.01,41.05,40.98,1.71,176,106,216,12,1.15,1.32,1.49,5,0.0
90.14,59.01,41.05,40.98,1.21,176,106,216,12,5.13,5.37,5.62,1,32.23
90.14,59.01,41.05,40.98,1.06,176,106,216,12,1.78,1.81,1.83,2,1.07
90.14,59.01,41.05,40.98,1.22,176,106,216,12,4.0,4.2,4.4,1,0.0
90.14,59.01,41.05,40.98,1.29,176,106,216,12,4.91,5.22,5.54,2,26.56
90.14,59.01,41.05,40.98,1.07,176,106,216,12,7.64,7.76,7.89,2,10.94
90.14,59.01,41.05,40.98,2.1,176,106,216,12,1.98,2.39,2.81,3,0.59
90.14,59.01,41.05,40.98,1.13,176,106,216,12,2.32,2.39,2.47,1,0.0
90.14,59.01,41.05,40.98,1.13,176,106,216,12,5.93,6.1,6.27,2,0.0
90.14,59.01,41.05,40.98,1.07,176,106,216,12,5.96,6.06,6.15,2,0.0
90.14,59.01,41.05,40.98,1.57,176,106,216,12,2.22,2.49,2.76,3,0.0
90.14,59.01,41.05,40.98,1.45,176,106,216,12,1.73,1.9,2.08,2,0.0
90.14,59.01,41.05,40.98,1.31,176,106,216,12,2.83,3.03,3.22,3,0.0
90.14,59.01,41.05,40.98,1.06,176,106,216,12,5.25,5.32,5.4,3,0.0
90.14,59.01,41.05,40.98,1.54,176,106,216,12,2.32,2.59,2.86,4,0.0
