Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
86.6,69.68,62.13,61.68,1.28,176,112,221,12,4.27,4.54,4.81,0,0.0
86.6,69.68,62.13,61.68,1.19,176,112,221,12,6.32,6.59,6.86,1,28.61
86.6,69.68,62.13,61.68,2.02,176,112,221,12,1.22,1.46,1.71,1,0.0
86.6,69.68,62.13,61.68,1.23,176,112,221,12,1.86,1.95,2.05,2,0.0
86.6,69.68,62.13,61.68,1.16,176,112,221,12,2.64,2.73,2.83,2,0.0
86.6,69.68,62.13,61.68,1.5,176,112,221,12,0.66,0.73,0.81,3,0.0
86.6,69.68,62.13,61.68,1.42,176,112,221,12,1.29,1.42,1.54,2,0.0
86.6,69.68,62.13,61.68,1.05,176,112,221,12,1.98,2.0,2.03,3,0.0
86.6,69.68,62.13,61.68,1.34,176,112,221,12,2.22,2.39,2.56,3,0.0
86.6,69.68,62.13,61.68,1.76,176,112,221,12,0.93,1.07,1.22,4,0.0
86.6,69.68,62.13,61.68,2.37,176,112,221,12,1.56,1.95,2.34,2,0.0
86.6,69.68,62.13,61.68,1.08,176,112,221,12,2.49,2.54,2.59,3,0.0
86.6,69.68,62.13,61.68,1.45,176,112,221,12,2.49,2.73,2.98,3,0.0
86.6,69.68,62.13,61.68,1.45,176,112,221,12,0.98,1.07,1.17,4,0.0
86.6,69.68,62.13,61.68,1.3,176,112,221,12,1.05,1.12,1.2,3,0.0
86.6,69.68,62.13,61.68,1.06,176,112,221,12,3.27,3.32,3.37,4,0.0
86.6,69.68,62.13,61.68,1.24,176,112,221,12,1.76,1.86,1.95,4,0.0
86.6,69.68,62.13,61.68,2.77,176,112,221,12,0.56,0.73,0.9,5,0.0
86.6,69.68,62.13,61.68,1.21,176,112,221,12,6.35,6.64,6.93,1,32.23
86.6,69.68,62.13,61.68,1.39,176,112,221,12,1.39,1.51,1.64,2,1.07
86.6,69.68,62.13,61.68,1.28,176,112,221,12,4.37,4.64,4.91,1,0.0
86.6,69.68,62.13,61.68,1.15,176,112,221,12,8.89,9.18,9.47,2,26.56
86.6,69.68,62.13,61.68,1.02,176,112,221,12,6.37,6.4,6.42,2,10.94
86.6,69.68,62.13,61.68,1.06,176,112,221,12,1.59,1.61,1.64,3,0.59
86.6,69.68,62.13,61.68,1.38,176,112,221,12,2.88,3.12,3.37,1,0.0
86.6,69.68,62.13,61.68,1.27,176,112,221,12,4.05,4.3,4.54,2,0.0
86.6,69.68,62.13,61.68,1.01,176,112,221,12,7.35,7.37,7.4,2,0.0
86.6,69.68,62.13,61.68,1.24,176,112,221,12,2.69,2.83,2.98,3,0.0
86.6,69.68,62.13,61.68,1.04,176,112,221,12,2.56,2.59,2.61,2,0.0
86.6,69.68,62.13,61.68,2.04,176,112,221,12,2.44,2.93,3.42,3,0.0
86.6,69.68,62.13,61.68,1.14,176,112,221,12,3.64,3.76,3.88,3,0.0
86.6,69.68,62.13,61.68,1.28,176,112,221,12,2.71,2.88,3.05,4,0.0
