Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
91.86,55.65,62.77,56.66,1.31,176,124,226,12,5.44,5.81,6.18,0,0.0
91.86,55.65,62.77,56.66,1.0,176,124,226,12,7.13,7.13,7.13,1,28.61
91.86,55.65,62.77,56.66,1.36,176,124,226,12,1.81,1.95,2.1,1,0.0
91.86,55.65,62.77,56.66,1.11,176,124,226,12,2.81,2.88,2.95,2,0.0
91.86,55.65,62.77,56.66,1.52,176,124,226,12,2.86,3.17,3.49,2,0.0
91.86,55.65,62.77,56.66,1.11,176,124,226,12,1.81,1.86,1.9,3,0.0
91.86,55.65,62.77,56.66,1.58,176,124,226,12,1.56,1.76,1.95,2,0.0
91.86,55.65,62.77,56.66,1.27,176,124,226,12,1.56,1.66,1.76,3,0.0
91.86,55.65,62.77,56.66,1.28,176,124,226,12,3.54,3.76,3.98,3,0.0
91.86,55.65,62.77,56.66,1.15,176,124,226,12,2.12,2.2,2.27,4,0.0
91.86,55.65,62.77,56.66,1.11,176,124,226,12,1.81,1.86,1.9,2,0.0
91.86,55.65,62.77,56.66,1.38,176,124,226,12,2.88,3.12,3.37,3,0.0
91.86,55.65,62.77,56.66,1.4,176,124,226,12,1.93,2.1,2.27,3,0.0
91.86,55.65,62.77,56.66,1.27,176,124,226,12,1.98,2.1,2.22,4,0.0
91.86,55.65,62.77,56.66,1.31,176,124,226,12,1.37,1.46,1.56,3,0.0
91.86,55.65,62.77,56.66,1.13,176,124,226,12,1.61,1.66,1.71,4,0.0
91.86,55.65,62.77,56.66,1.35,176,124,226,12,2.86,3.08,3.3,4,0.0
91.86,55.65,62.77,56.66,1.42,176,124,226,12,1.29,1.42,1.54,5,0.0
91.86,55.65,62.77,56.66,1.04,176,124,226,12,4.74,4.78,4.83,1,32.23
91.86,55.65,62.77,56.66,1.0,176,124,226,12,2.83,2.83,2.83,2,1.07
91.86,55.65,62.77,56.66,1.18,176,124,226,12,4.08,4.25,4.42,1,0.0
91.86,55.65,62.77,56.66,1.18,176,124,226,12,4.08,4.25,4.42,2,26.56
91.86,55.65,62.77,56.66,1.15,176,124,226,12,8.08,8.35,8.62,2,10.94
91.86,55.65,62.77,56.66,1.48,176,124,226,12,1.86,2.05,2.25,3,0.59
91.86,55.65,62.77,56.66,1.41,176,124,226,12,2.69,2.93,3.17,1,0.0
91.86,55.65,62.77,56.66,1.46,176,124,226,12,1.95,2.15,2.34,2,0.0
91.86,55.65,62.77,56.66,1.15,176,124,226,12,4.35,4.49,4.64,2,0.0
91.86,55.65,62.77,56.66,1.22,176,124,226,12,2.37,2.49,2.61,3,0.0
91.86,55.65,62.77,56.66,1.58,176,124,226,12,1.78,2.0,2.22,2,0.0
91.86,55.65,62.77,56.66,1.74,176,124,226,12,1.27,1.46,1.66,3,0.0
91.86,55.65,62.77,56.66,1.05,176,124,226,12,5.93,6.01,6.08,3,0.0
91.86,55.65,62.77,56.66,1.56,176,124,226,12,2.66,2.98,3.3,4,0.0
