Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
89.57,66.28,82.08,73.32,1.21,176,103,213,10,3.49,3.66,3.83,0,0.0
89.57,66.28,82.08,73.32,1.59,176,103,213,10,1.34,1.51,1.68,1,31.84
89.57,66.28,82.08,73.32,1.23,176,103,213,10,3.81,4.0,4.2,1,0.0
89.57,66.28,82.08,73.32,1.0,176,103,213,10,2.64,2.64,2.64,2,0.0
89.57,66.28,82.08,73.32,1.07,176,103,213,10,6.25,6.35,6.44,2,0.0
89.57,66.28,82.08,73.32,1.21,176,103,213,10,3.08,3.22,3.37,3,0.0
89.57,66.28,82.08,73.32,1.03,176,103,213,10,3.83,3.86,3.88,2,0.0
89.57,66.28,82.08,73.32,1.09,176,103,213,10,2.3,2.34,2.39,3,0.0
89.57,66.28,82.08,73.32,1.02,176,103,213,10,5.2,5.22,5.25,3,0.0
89.57,66.28,82.08,73.32,1.0,176,103,213,10,2.83,2.83,2.83,4,0.0
89.57,66.28,82.08,73.32,1.15,176,103,213,10,3.54,3.66,3.78,2,0.0
89.57,66.28,82.08,73.32,1.05,176,103,213,10,1.88,1.9,1.93,3,0.0
89.57,66.28,82.08,73.32,1.02,176,103,213,10,4.22,4.25,4.27,3,0.0
89.57,66.28,82.08,73.32,1.1,176,103,213,10,2.1,2.15,2.2,4,0.0
89.57,66.28,82.08,73.32,1.37,176,103,213,10,3.3,3.56,3.83,3,0.0
89.57,66.28,82.08,73.32,1.09,176,103,213,10,2.2,2.25,2.3,4,0.0
89.57,66.28,82.08,73.32,1.12,176,103,213,10,4.52,4.64,4.76,4,0.0
89.57,66.28,82.08,73.32,1.16,176,103,213,10,1.93,2.0,2.08,5,0.0
89.57,66.28,82.08,73.32,1.25,176,103,213,10,4.35,4.59,4.83,1,28.42
89.57,66.28,82.08,73.32,1.4,176,103,213,10,2.47,2.69,2.9,2,0.98
89.57,66.28,82.08,73.32,1.07,176,103,213,10,3.08,3.12,3.17,1,0.2
89.57,66.28,82.08,73.32,1.17,176,103,213,10,1.22,1.27,1.32,2,24.22
89.57,66.28,82.08,73.32,1.32,176,103,213,10,4.2,4.49,4.78,2,13.77
89.57,66.28,82.08,73.32,1.09,176,103,213,10,2.3,2.34,2.39,3,0.59
89.57,66.28,82.08,73.32,1.03,176,103,213,10,3.05,3.08,3.1,1,0.0
89.57,66.28,82.08,73.32,1.2,176,103,213,10,1.03,1.07,1.12,2,0.0
89.57,66.28,82.08,73.32,1.36,176,103,213,10,3.71,4.0,4.3,2,0.0
89.57,66.28,82.08,73.32,1.31,176,103,213,10,2.1,2.25,2.39,3,0.0
89.57,66.28,82.08,73.32,1.26,176,103,213,10,3.32,3.52,3.71,2,0.0
89.57,66.28,82.08,73.32,1.16,176,103,213,10,1.32,1.37,1.42,3,0.0
89.57,66.28,82.08,73.32,1.0,176,103,213,10,3.91,3.91,3.91,3,0.0
89.57,66.28,82.08,73.32,1.09,176,103,213,10,2.2,2.25,2.3,4,0.0
