Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
87.77,43.09,52.33,40.98,1.19,176,124,229,12,4.59,4.78,4.98,0,0.0
87.77,43.09,52.33,40.98,1.47,176,124,229,12,7.67,8.4,9.13,1,28.61
87.77,43.09,52.33,40.98,1.3,176,124,229,12,1.78,1.9,2.03,1,0.0
87.77,43.09,52.33,40.98,1.12,176,124,229,12,1.71,1.76,1.81,2,0.0
87.77,43.09,52.33,40.98,1.17,176,124,229,12,3.15,3.27,3.39,2,0.0
87.77,43.09,52.33,40.98,1.09,176,124,229,12,1.1,1.12,1.15,3,0.0
87.77,43.09,52.33,40.98,1.81,176,124,229,12,1.64,1.9,2.17,2,0.0
87.77,43.09,52.33,40.98,1.34,176,124,229,12,1.59,1.71,1.83,3,0.0
87.77,43.09,52.33,40.98,1.07,176,124,229,12,3.08,3.12,3.17,3,0.0
87.77,43.09,52.33,40.98,1.41,176,124,229,12,1.61,1.76,1.9,4,0.0
87.77,43.09,52.33,40.98,1.25,176,124,229,12,1.66,1.76,1.86,2,0.0
87.77,43.09,52.33,40.98,1.1,176,124,229,12,2.0,2.05,2.1,3,0.0
87.77,43.09,52.33,40.98,1.39,176,124,229,12,1.39,1.51,1.64,3,0.0
87.77,43.09,52.33,40.98,1.56,176,124,229,12,1.0,1.12,1.24,4,0.0
87.77,43.09,52.33,40.98,1.16,176,124,229,12,1.32,1.37,1.42,3,0.0
87.77,43.09,52.33,40.98,1.51,176,124,229,12,1.32,1.46,1.61,4,0.0
87.77,43.09,52.33,40.98,1.11,176,124,229,12,1.81,1.86,1.9,4,0.0
87.77,43.09,52.33,40.98,1.0,176,124,229,12,0.98,0.98,0.98,5,0.0
87.77,43.09,52.33,40.98,1.08,176,124,229,12,6.37,6.49,6.62,1,30.08
87.77,43.09,52.33,40.98,1.15,176,124,229,12,2.03,2.1,2.17,2,1.27
87.77,43.09,52.33,40.98,1.22,176,124,229,12,3.91,4.1,4.3,1,0.0
87.77,43.09,52.33,40.98,1.38,176,124,229,12,7.1,7.67,8.23,2,28.52
87.77,43.09,52.33,40.98,1.04,176,124,229,12,7.79,7.86,7.94,2,10.94
87.77,43.09,52.33,40.98,1.23,176,124,229,12,3.2,3.37,3.54,3,0.59
87.77,43.09,52.33,40.98,1.0,176,124,229,12,3.91,3.91,3.91,1,0.0
87.77,43.09,52.33,40.98,1.08,176,124,229,12,3.69,3.76,3.83,2,0.0
87.77,43.09,52.33,40.98,1.14,176,124,229,12,2.93,3.03,3.12,2,0.0
87.77,43.09,52.33,40.98,1.43,176,124,229,12,3.12,3.42,3.71,3,0.0
87.77,43.09,52.33,40.98,1.17,176,124,229,12,3.15,3.27,3.39,2,0.0
87.77,43.09,52.33,40.98,1.62,176,124,229,12,2.81,3.17,3.54,3,0.0
87.77,43.09,52.33,40.98,1.08,176,124,229,12,3.78,3.86,3.93,3,0.0
87.77,43.09,52.33,40.98,1.2,176,124,229,12,2.05,2.15,2.25,4,0.0
