Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
89.17,47.9,53.42,53.61,1.16,176,112,226,10,3.34,3.47,3.59,0,0.0
89.17,47.9,53.42,53.61,1.57,176,112,226,10,2.22,2.49,2.76,1,31.84
89.17,47.9,53.42,53.61,1.0,176,112,226,10,5.57,5.57,5.57,1,0.0
89.17,47.9,53.42,53.61,1.38,176,112,226,10,4.15,4.49,4.83,2,0.0
89.17,47.9,53.42,53.61,1.24,176,112,226,10,6.49,6.84,7.18,2,0.0
89.17,47.9,53.42,53.61,1.11,176,112,226,10,2.81,2.88,2.95,3,0.0
89.17,47.9,53.42,53.61,1.04,176,112,226,10,4.64,4.69,4.74,2,0.0
89.17,47.9,53.42,53.61,1.21,176,112,226,10,2.98,3.12,3.27,3,0.0
89.17,47.9,53.42,53.61,1.19,176,112,226,10,5.2,5.42,5.64,3,0.0
89.17,47.9,53.42,53.61,1.16,176,112,226,10,2.54,2.64,2.73,4,0.0
89.17,47.9,53.42,53.61,1.02,176,112,226,10,4.71,4.74,4.76,2,0.0
89.17,47.9,53.42,53.61,1.06,176,112,226,10,3.17,3.22,3.27,3,0.0
89.17,47.9,53.42,53.61,1.12,176,112,226,10,6.42,6.59,6.76,3,0.0
89.17,47.9,53.42,53.61,1.33,176,112,226,10,2.32,2.49,2.66,4,0.0
89.17,47.9,53.42,53.61,1.08,176,112,226,10,3.98,4.05,4.13,3,0.0
89.17,47.9,53.42,53.61,1.11,176,112,226,10,3.71,3.81,3.91,4,0.0
89.17,47.9,53.42,53.61,1.19,176,112,226,10,3.98,4.15,4.32,4,0.0
89.17,47.9,53.42,53.61,1.09,176,112,226,10,2.2,2.25,2.3,5,0.0
89.17,47.9,53.42,53.61,1.43,176,112,226,10,2.59,2.83,3.08,1,28.61
89.17,47.9,53.42,53.61,2.01,176,112,226,10,0.61,0.73,0.85,2,1.17
89.17,47.9,53.42,53.61,1.09,176,112,226,10,2.39,2.44,2.49,1,0.0
89.17,47.9,53.42,53.61,1.22,176,112,226,10,1.95,2.05,2.15,2,24.02
89.17,47.9,53.42,53.61,1.65,176,112,226,10,2.71,3.08,3.44,2,13.77
89.17,47.9,53.42,53.61,1.51,176,112,226,10,1.1,1.22,1.34,3,0.59
89.17,47.9,53.42,53.61,1.11,176,112,226,10,1.9,1.95,2.0,1,0.0
89.17,47.9,53.42,53.61,1.74,176,112,226,10,1.27,1.46,1.66,2,0.0
89.17,47.9,53.42,53.61,1.07,176,112,226,10,3.08,3.12,3.17,2,0.0
89.17,47.9,53.42,53.61,1.06,176,112,226,10,1.59,1.61,1.64,3,0.0
89.17,47.9,53.42,53.61,1.05,176,112,226,10,1.88,1.9,1.93,2,0.0
89.17,47.9,53.42,53.61,1.42,176,112,226,10,1.29,1.42,1.54,3,0.0
89.17,47.9,53.42,53.61,1.28,176,112,226,10,1.88,2.0,2.12,3,0.0
89.17,47.9,53.42,53.61,1.37,176,112,226,10,1.17,1.27,1.37,4,0.0
