Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
88.52,45.29,45.15,43.3,1.18,176,118,224,10,4.78,4.98,5.18,0,0.0
88.52,45.29,45.15,43.3,1.2,176,118,224,10,5.42,5.66,5.91,1,31.84
88.52,45.29,45.15,43.3,1.06,176,118,224,10,1.78,1.81,1.83,1,0.0
88.52,45.29,45.15,43.3,1.79,176,118,224,10,1.51,1.76,2.0,2,0.0
88.52,45.29,45.15,43.3,1.51,176,118,224,10,3.39,3.76,4.13,2,0.0
88.52,45.29,45.15,43.3,1.38,176,118,224,10,2.03,2.2,2.37,3,0.0
88.52,45.29,45.15,43.3,1.14,176,118,224,10,2.22,2.3,2.37,2,0.0
88.52,45.29,45.15,43.3,1.15,176,118,224,10,1.42,1.46,1.51,3,0.0
88.52,45.29,45.15,43.3,1.15,176,118,224,10,4.25,4.4,4.54,3,0.0
88.52,45.29,45.15,43.3,1.1,176,118,224,10,2.1,2.15,2.2,4,0.0
88.52,45.29,45.15,43.3,1.06,176,118,224,10,1.68,1.71,1.73,2,0.0
88.52,45.29,45.15,43.3,1.2,176,118,224,10,2.05,2.15,2.25,3,0.0
88.52,45.29,45.15,43.3,1.03,176,118,224,10,3.05,3.08,3.1,3,0.0
88.52,45.29,45.15,43.3,1.2,176,118,224,10,2.66,2.78,2.9,4,0.0
88.52,45.29,45.15,43.3,1.55,176,118,224,10,1.66,1.86,2.05,3,0.0
88.52,45.29,45.15,43.3,1.47,176,118,224,10,1.42,1.56,1.71,4,0.0
88.52,45.29,45.15,43.3,1.15,176,118,224,10,2.83,2.93,3.03,4,0.0
88.52,45.29,45.15,43.3,1.2,176,118,224,10,2.66,2.78,2.9,5,0.0
88.52,45.29,45.15,43.3,1.22,176,118,224,10,5.54,5.81,6.08,1,28.42
88.52,45.29,45.15,43.3,1.26,176,118,224,10,2.08,2.2,2.32,2,0.98
88.52,45.29,45.15,43.3,1.17,176,118,224,10,4.47,4.64,4.81,1,0.2
88.52,45.29,45.15,43.3,1.23,176,118,224,10,4.64,4.88,5.13,2,24.22
88.52,45.29,45.15,43.3,1.09,176,118,224,10,5.98,6.1,6.23,2,13.77
88.52,45.29,45.15,43.3,1.85,176,118,224,10,1.42,1.66,1.9,3,0.59
88.52,45.29,45.15,43.3,1.0,176,118,224,10,3.12,3.12,3.12,1,0.0
88.52,45.29,45.15,43.3,1.11,176,118,224,10,3.91,4.0,4.1,2,0.0
88.52,45.29,45.15,43.3,1.3,176,118,224,10,4.08,4.35,4.61,2,0.0
88.52,45.29,45.15,43.3,1.05,176,118,224,10,2.08,2.1,2.12,3,0.0
88.52,45.29,45.15,43.3,1.03,176,118,224,10,3.25,3.27,3.3,2,0.0
88.52,45.29,45.15,43.3,1.12,176,118,224,10,3.52,3.61,3.71,3,0.0
88.52,45.29,45.15,43.3,1.38,176,118,224,10,2.88,3.12,3.37,3,0.0
88.52,45.29,45.15,43.3,1.18,176,118,224,10,1.73,1.81,1.88,4,0.0
