Avg_inverted_error,Avg_inverted_error_25,Avg_inverted_error_50,Avg_inverted_error_75,Avg_odds_ratio,Num_1Q_Gates,Num_2Q_Gates,circuit_depth,circuit_width,observed_prob_25,observed_prob_50,observed_prob_75,state_weight,target
90.88,51.23,47.97,59.01,1.2,176,115,221,10,7.96,8.3,8.64,0,0.0
90.88,51.23,47.97,59.01,1.02,176,115,221,10,6.18,6.2,6.23,1,28.61
90.88,51.23,47.97,59.01,1.2,176,115,221,10,2.15,2.25,2.34,1,0.0
90.88,51.23,47.97,59.01,1.63,176,115,221,10,0.9,1.03,1.15,2,0.0
90.88,51.23,47.97,59.01,1.03,176,115,221,10,3.93,3.96,3.98,2,0.0
90.88,51.23,47.97,59.01,1.14,176,115,221,10,0.71,0.73,0.76,3,0.0
90.88,51.23,47.97,59.01,2.45,176,115,221,10,0.93,1.17,1.42,2,0.0
90.88,51.23,47.97,59.01,1.3,176,115,221,10,1.05,1.12,1.2,3,0.0
90.88,51.23,47.97,59.01,1.1,176,115,221,10,3.0,3.08,3.15,3,0.0
90.88,51.23,47.97,59.01,1.22,176,115,221,10,0.93,0.98,1.03,4,0.0
90.88,51.23,47.97,59.01,1.22,176,115,221,10,1.95,2.05,2.15,2,0.0
90.88,51.23,47.97,59.01,1.39,176,115,221,10,1.39,1.51,1.64,3,0.0
90.88,51.23,47.97,59.01,1.26,176,115,221,10,2.08,2.2,2.32,3,0.0
90.88,51.23,47.97,59.01,1.07,176,115,221,10,1.39,1.42,1.44,4,0.0
90.88,51.23,47.97,59.01,1.17,176,115,221,10,1.22,1.27,1.32,3,0.0
90.88,51.23,47.97,59.01,1.72,176,115,221,10,0.81,0.93,1.05,4,0.0
90.88,51.23,47.97,59.01,1.1,176,115,221,10,2.1,2.15,2.2,4,0.0
90.88,51.23,47.97,59.01,2.13,176,115,221,10,1.12,1.37,1.61,5,0.0
90.88,51.23,47.97,59.01,1.01,176,115,221,10,10.38,10.4,10.42,1,32.23
90.88,51.23,47.97,59.01,1.04,176,115,221,10,2.76,2.78,2.81,2,1.07
90.88,51.23,47.97,59.01,1.04,176,115,221,10,5.42,5.47,5.52,1,0.0
90.88,51.23,47.97,59.01,1.28,176,115,221,10,4.78,5.08,5.37,2,26.56
90.88,51.23,47.97,59.01,1.19,176,115,221,10,7.13,7.42,7.72,2,10.94
90.88,51.23,47.97,59.01,2.28,176,115,221,10,1.54,1.9,2.27,3,0.59
90.88,51.23,47.97,59.01,1.23,176,115,221,10,2.78,2.93,3.08,1,0.0
90.88,51.23,47.97,59.01,1.0,176,115,221,10,1.66,1.66,1.66,2,0.0
90.88,51.23,47.97,59.01,1.17,176,115,221,10,6.3,6.54,6.79,2,0.0
90.88,51.23,47.97,59.01,1.44,176,115,221,10,2.27,2.49,2.71,3,0.0
90.88,51.23,47.97,59.01,1.14,176,115,221,10,3.03,3.12,3.22,2,0.0
90.88,51.23,47.97,59.01,3.49,176,115,221,10,1.1,1.51,1.93,3,0.0
90.88,51.23,47.97,59.01,1.22,176,115,221,10,4.52,4.74,4.96,3,0.0
90.88,51.23,47.97,59.01,1.31,176,115,221,10,2.1,2.25,2.39,4,0.0
